stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,494.25,12165.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.34,0,0,0,0,0,0,0,0,0,0,0
  5-6,584.72,7079.36,0,0,0,0,0,0,0,0,0,0,28.03,0,0,0,0,0,0,0,0,0,0,0,435.36,84.27,0,0,105.38,0,445.97,0,0,0,0,0,0,0,0,0,0,0
  7-9,277.04,113.95,0,321.21,0,6.96,0,377.87,0,0,0,0,193.02,0,0,0,0,0,0,0,0,0,0,0,4410.55,183.63,0,0,1956.89,0,155.14,25.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,116.27,0,230.84,0,105.73,0,398.75,0,0,0,0,59.14,0,0,0,0,0,0,0,0,0,0,0,3682.38,53.86,0,0,1141,0,45.43,8.5,17.5,157.45,0,8.65,3.28,0,0,0,0,0
 14-21,3.7,0,0,23.87,359,138.32,0,85.58,0,0,17.69,3.92,0.94,0,6.18,20.53,0,0,1.02,0,110.06,0,0,84.16,1451.88,37.53,37.51,31.49,59.21,0,304.43,1.4,251.11,27.44,2.72,121.85,528.3,0,0,13.81,0,0
 24-34,0,0,0.66,6.86,142.22,60.68,0,454.74,4.76,4.14,66.56,9.97,0,3.88,26.76,6.31,5.37,8,6.15,1.48,251.72,16.24,5.46,87.05,3452.71,48.37,46.05,35.5,0,0,535.42,0,1.03,3.13,1.01,25.08,782.99,0,0,73.65,0,12.06
 36-46,0,0,0,0,73.46,33.74,0,1219.1,1.88,1.16,55.43,2.3,0,11.95,31.07,12.16,5.01,2.21,0.75,0,189.61,4.69,8.06,48.06,2404.49,7.17,13.57,7.7,0,0,249.05,0,3.41,7.56,0,0,512.15,0,0,31.43,0,20.02
 48-58,0.77,0,0,1.75,87.63,44.99,0,1461.9,3.46,5.07,47.99,5,0,6.59,24.69,4.46,11.16,2.38,7.55,6.11,158.27,4.55,7.27,38.52,1170.13,4.91,8.76,8.05,0,0,95.98,0,0,1.02,0,0,181.49,0,0,20.41,0,9.46
 60-70,0,0,0,0,58.43,5.54,0,908.64,0,5.85,36.47,12.94,0,0.66,6.74,0,2.12,6.93,5.79,4.38,156.17,0.77,8.78,23.37,557.41,4.64,1.78,8.91,0,0,52.65,0,0,0.58,0,0,38.06,0,0,18.33,0,22.53
 72-82,0,0,0,0,58.58,10.52,0,335.37,0.99,7.71,54.89,18.26,0,3.14,29.13,1.02,3.01,0.68,12.39,0,138.45,0.58,18.59,14.98,391.06,0,2.99,4.2,0,0,28.16,0,0,2.78,0,0,14.44,1.34,0.75,12.84,5.49,11.75
 84-94,0,0,0,1.56,91.54,14.57,0,278.62,0,6.99,38.74,24.26,0,0.8,35.72,5.73,7.05,1.37,17.64,0,130.03,0,19.39,11.87,262.76,9.26,6.07,7.47,0,2.02,54.42,0,0,0,0,0,8.14,10.89,1.83,34.46,3.36,0
 96-106,0,0,0,0,68.7,21.99,1.77,264.23,1.54,1.41,45.44,20.87,0,9.15,41.2,3.26,0.92,3.76,8.19,0,115.93,4.22,23.89,10.26,290.57,6.41,6.05,3.36,0,0,87.24,0,0,5.5,0,0,8.22,1.5,1.08,18.16,8.01,0
108-118,0,0,0,0,38.34,24.99,0,220,0.68,5.71,64.21,16.44,0,0,44.16,1.56,3.9,1.38,0,0.66,71.37,0.79,16.65,10.28,369.75,4.48,4.42,7.87,0,0,43.92,0,0,0.95,0,0,26.36,5.67,0,24.76,12.22,2.67
120,0,0,0,0,20.3,29.11,0,209.87,0,0,113.25,5.37,0,0,48.75,5.51,1.4,0,0,0,106.68,0,45.35,4.03,347.16,1.39,0,6.12,0,9.62,31.89,0,0,1.56,0,0,11.45,3.53,42.42,33.7,4.8,4.83
