stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,30.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.02,0,0,0,0,0,0,0,0,0,0,0,0,26.59,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,19.68,0,0,25.77,0,0,0,0,0
 10-12,0,6.07,0,0,0,0,0,0,0,0,0,0,0,39.18,0,0,13.02,0,0,3.28,0,0
 14-21,0,0,5.1,1.44,0,0,10.96,0,0,0,2.3,0,0.91,12.57,0,0,0,9.56,0.99,10.7,0,1.86
 24-34,0,0,0.72,0,0.65,0,2.53,0,0,0,1.55,0,0,27.32,0.98,0.73,0,1.22,0.68,17.79,0,1.23
 36-46,0,0,0,0,5.61,0,4.89,0,0,3.34,0.66,0,0.72,16.52,12.26,0,0,2.6,0,10.97,0,0
 48-58,0,0,1.7,0,1.1,0.42,15.06,0,0.42,0,0,0,0.58,23.6,1.27,5.12,0,0.74,0,9.31,0,0
 60-70,0,0,0,0,4.42,0,1.73,0.66,0,1.39,3.5,0,0,7.12,1.29,4.18,0,0.68,0,4.92,0,0
 72-82,0,0,0,0,7.05,0,6.68,0,0,4.15,2.92,0.81,0,34.03,3.84,5.25,0,0,0,3.14,0,0
 84-94,0,0,0,0,6.75,0,4,0,0,1.57,8.08,0,0,21.97,1.63,0.92,0,0,0,3.07,0,4.14
 96-106,0,0,0,0,3.87,0,6.17,0,0,2.46,1.54,0,0,6.08,6.56,1.5,0,0,0,1.59,0,0
108-118,0,0,0,0,0.59,0,28.24,0.8,0.51,0.63,0,0,0,15.83,3.9,5.25,0,0,0,5.06,0.96,0
120,0,0,1.79,0,0,1.05,8.81,7.81,0,0,2.12,0,0,16.34,24.89,1.29,0,0,0,0,0,0
