stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.84,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0.85,9.38,2.14,1.01,0,0,0
 24-34,0,0,1.25,0,0,0,9.34,0,0,0.84,0,0,0,0,0,0,0,5.44,0,0,12.56,41.24,0,0,0,1.74,0,53.07,15.2,3.72,0,0,0
 36-46,0,0,0.63,0,0,1.83,36.89,0,0,0,0,2.27,0,0,0,0,0,1.74,0,0,15.41,21.35,0,0,7.09,2.9,0,98.14,0.59,2.76,0,1.06,0
 48-58,0,0,6.23,0,0,9.54,38.06,0,0,0.94,0,0,0,0,0,0,0,2.06,0,0,8.15,45.47,1.15,0,4.77,2.61,0,55.36,0,8.36,0,0,1.92
 60-70,0,0,2.75,0,0,13.62,16.72,0,0,10.91,0,0,0,0,0,0,0,4.3,0,0,5.57,27.78,1.19,10.73,0,2.05,0,44.4,0,1.53,0,0,0
 72-82,0,0,0,0.77,0,19.46,10,0,0,4.05,0,0,3.64,0,4.77,0,0,6.07,0,0,4.39,30,0,0.5,1.13,3.28,0,42.06,0,7.1,0,3.38,0
 84-94,0,0,0.72,0,0,15.27,17.55,0,0,1.71,0,0,0,0,0.8,0,0,18.29,4.49,0,8.1,39.45,1.4,1.77,0,2.22,0,40.23,0,2.15,0,0,0
 96-106,0,1.36,1.74,1.39,0,21.49,16.66,0,6.64,14.05,0.63,0,0,0,3.99,4.64,0,10.88,7.39,1.02,8,69.38,2,0.85,1.2,10.52,3.26,50.77,0,0,0,2.97,6.26
108-118,0,0,0.66,6.02,0.47,1.97,23.75,0.55,0,0.73,0.54,0,0,0.92,1.26,0,1.97,1.81,0,0,10.58,31.94,0,4.62,0,1.9,0,18.17,0,3.24,0.43,0,0.84
120,0,0,2.3,0,0,3.13,34.55,0,0,0,0,0,0,0,2.13,0,0,6.93,0,0,0,10.07,1.26,0,0,0,0,12.58,0,0,0,0,0
