stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.1,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.72,3.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.01,4.04,0,3.25,0,0,0,0,0,0.85,0,0,0,0,0,21.31,0,0,5.74,0,0,1.03,0.98,0,0,0,0
 24-34,0,0,0,0.9,0,0,6.55,0,0,0,16.17,1,11.61,0,0,0,2.38,0,37.97,0,0,8,0.66,0,0,8.27,0,0.63,0,0
 36-46,0,0,0,0,0.6,0,3.09,0,0,0,98.05,0,62.4,0,0,0,0.83,0,55.55,0,0,9.85,0,0,0,47.85,0,0,0,0
 48-58,0,0,0,0,0.58,0,26.72,1.02,0,0,249.65,0,43.23,0,0,0,5.34,0,79.89,0,0,7.41,0,0,0,133.28,0,0,0,0.47
 60-70,0,0,0,2.7,0,0,65.57,0,0,0,580.08,0,46.6,0,0,1.14,2.45,0,42.25,0,0,13.01,1,0,0,104.17,0,0,0,0
 72-82,0,0,0,2.2,0,0,108.83,0,0,0,856.3,0,88.71,0,8.77,3.58,2.85,0,77.81,0,1.42,8.72,0,0,0,48.84,0.87,3.54,0,0
 84-94,0,0,0,19.15,0,0,72.78,0,0,0,664.46,0,127.3,0,0,0,7.02,4.54,34.58,0,0,11.11,0,0,0,32.56,0,7.34,0,0
 96-106,0,0,0,6.61,1.8,0,99.83,0,6.32,1.88,836.56,0,149.68,0,7.08,0,9.28,0,47.09,0,0,19.24,1.33,0,0,25.58,0,3.27,1.17,0
108-118,0,0,0.71,0,0,1.93,48.88,0,0,0,867.71,0,175.81,0,0,0,16.37,0.52,50.21,0,0,18.03,0,1.05,0,27.72,0,0.42,0.57,0
120,0,0,0,0,1.29,0,37.12,0,0,0,1064.32,0,242.92,1.15,0,0,5.82,0,63.13,0,0,26.05,0,0,0,28.62,0,0,0,0
