stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,22.85,69.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,75.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.88,6.96,3.85,0,0,25.85,0,0,0,0,0,0,0,0,0,60.09,0,0,8.8,0,0,0,0,0,0,0,0
 10-12,0,0,20.37,0,0,18.22,0,0,0,0,0,0,0,0,0,114.6,4.38,0,20.13,0,0,5.47,0,0,0,0,0
 14-21,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,12.93,7.68,0,0,0,0,0,3.56,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,26.9,1.64,90.18,0,0,9.47,0,0,4.53,0,0,0
 36-46,0,0,0,0,0,1.26,1.91,4.84,0,0,0.88,0,0.98,0,0,66.33,2.04,123.34,0,0,1.34,0,0,20.73,0,0,0
 48-58,0,0,0,0,0,6.24,0,14.94,0,5.89,0,3.63,6.77,0,0,62.02,1.28,59.47,0,0,2.82,0,0,27.37,0,0,0
 60-70,0,0,0,0,0,10.86,0,3.88,0,1.38,0,0,3.47,0,0,87.51,23.5,74.17,0,0,0,0,0,22.5,4.53,0,0
 72-82,0,0,0,0.49,0.72,27.4,0,2.63,0,69.39,0,0,5.03,0.63,0,54.94,0.52,115.24,0,5.76,1.75,0,0,2.6,2.24,0,2.76
 84-94,0,0,0,0,0,16.59,0,1.88,0.62,55.2,0,0,3.28,0,0.7,34.02,0,61.96,0,0,5.53,0,0,6.35,1.37,1.1,0
 96-106,0,0,0,0,0.71,19.47,0,3.28,0,75.68,0,0,2.54,1.37,0,29.02,0,143.82,0,0,4.99,0,0,7.04,3.09,0.59,0.59
108-118,0,0,0,0.89,0,17.96,0,2.48,0,74.25,0,0,6.51,0,0,50.32,0.48,112,0,9.09,4.76,0,0,0,4.08,2.43,1.55
120,0,0,0,0,0,8.38,0,6.6,0,94.58,0,0,24.12,2.13,0,29.68,3.25,75.6,0,0,1.88,0,0,2.1,0,9.03,0
