stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,21.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,14.4,0,0,6.78,0,0,0,0
 14-21,0,0,0,0,0.88,0,0,0,0,2.13,0,0,0,0,2.52,0,0
 24-34,0,0,0,0,0.63,0,0,0,0,62.62,0,0,0,0.79,1.22,0,0
 36-46,0,0,0,1.39,2.36,0,0,0,0,217.48,2.65,0.61,0,0,16.83,0,0
 48-58,0,0.46,0,14.41,2.17,0,0,0.77,0,489.07,0,2.23,0,2,33.12,0,0
 60-70,0,0,0,176.03,35.56,0,0,0.59,0,355.88,0,0.91,0,1.24,10.38,0,0
 72-82,0,2.41,0.58,239.63,18.93,0,0,4.22,0,588.77,0,0.52,0,2.91,15.32,1.38,0.96
 84-94,0,0,2.19,69.93,6.4,0,0,1.06,0.75,307.56,0,10.64,0,0,1.01,0,0
 96-106,0,0,1.42,152.1,15.42,0.65,0.81,1.42,0,256.56,0,3.13,0,0,2.35,0,0
108-118,0,0,1.58,156.52,9.73,0,0,5.32,0,191,0,5.57,0,0,5.9,0,0
120,0,0,0,73.15,0,0,0,20.85,0,338.12,0,0,0,0,9.78,0,0
