stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.42,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,0,0,0,0,24.2,0,0,17.15,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.73,0,0,24.42,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,48.05,0,0,10.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.59,1.89,4.68,0.93,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,50.83,0,29.73,14.63,0,0,0,0,8.22,3.25,0,1.79,3.36,0,0,0,0,0
 24-34,0,0,0,2.22,2.6,2.31,0,0.92,1.52,0,0,0,14.87,0,0,0,0,0,0,141.68,0.82,50.06,53.28,0,4.45,0,0,0,0,0,0,4.44,0,0,2.69,0,0.79
 36-46,0,0.95,0,0,0,1.25,10.56,5.47,3.13,1.01,0,0,27.31,0,0,0,1.79,0,4.14,276.12,11.72,33.14,21.82,0,0,0,0,1.24,10.23,0,0,4.96,0,0,0,0,11.02
 48-58,0,0.54,0,0.39,0,11.33,8.65,0.37,6.26,6.79,0,0,5.85,0,0,0,0.41,0,0,192.65,9.62,25.53,38.03,2.08,1.22,0,7.28,0,0,0,0,6.99,0,0.85,1.23,0,4.84
 60-70,0,0,0,0,0,28.16,2.04,1.35,32.03,55.75,1.14,0,9.34,0,0,0,1.26,0,0,333.64,14.51,12.86,86.29,0,0,0,1.08,0,0,1.33,0,1.55,0,8.53,5.06,4.19,0
 72-82,0,2.33,0,1.61,0,42.18,0,1.49,16.98,33.83,1.26,0,6.26,0.65,0,0.72,0,0.79,0,402.45,15.37,15.61,125.83,0,0,0,2.25,3.99,0,0,0,0.79,1.36,6.59,0.96,13.09,13.06
 84-94,0,1.32,0,3.82,0,36.72,2.25,3.86,20.05,20.12,0.92,0,7.85,1.39,0,6.41,3.82,0.83,12.85,328.06,46.76,13.66,61.34,0,0,0,0,4.51,0,0.63,0,0,0,9.63,1.23,20.71,7.75
 96-106,0,1.62,0,5.18,0,15.47,2.67,0,30.64,36.77,3.26,0,7.13,0,0,0,0.97,4.37,0,401.41,27.48,10.1,113.72,0,0,0,12.52,0.95,0,6.59,0,3.73,4.84,2.83,2.83,21.81,0
108-118,0,0.57,0,7.91,0,41.75,10.89,0,26.87,33.23,1.88,0,7.42,0.42,1.77,1.64,0,2.33,1.67,370.95,26.33,24.4,92.01,0,0.46,0,1.85,2.87,0,0.63,0,0,0,4.56,4.4,27.98,0
120,0,0,0,0,0,7.6,15.17,17.06,51.39,18.53,3.22,0,6.31,0,0,0,1.48,0,0,429.09,17.87,39.33,74.66,0,1.29,0,5.9,1.83,0,0,0,5.78,0,10.76,9.74,24.96,0
