stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord
  3-4,9.45,88.22,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.61,0,0,0,26.57,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.47,0,0,0,0,0,4.31,0,0,0,0,0
 10-12,0,0,0,5.19,0,0,0,0,0,24.75,3.05,12.27,0,0,0
 14-21,0,0,2.27,0,0,0,0,8.9,3.68,12.26,0,0,10.08,10.73,0
 24-34,0,0,0,0,0,0,0,2.16,1.66,0,0,0,0,0.65,0
 36-46,0,0,0,0,0,0,0.69,7.69,0,0,0,0,0,0,0.87
 48-58,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.58,0,1.56,0,0,0,0,0
 72-82,0,0,0,2.59,1.06,0,0,0.63,0,4.65,0,0,0,0,0
 84-94,0,0,0,2.62,0.62,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0
