stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,7.04,0,1.06,0,0,0,0,0,29.05,0,0,0,0,1.12,0,0,0,1.3,2.46,0,0,0,0.81,0,0,7.72,0,0
 24-34,0,1.34,0.98,0,0,0,0,0,0,15.82,0,0,0,0,31.69,0,0,1.74,193.97,0,2.45,0,0.66,0,0,15.66,0.93,0,0.61
 36-46,0,0,145.12,0,0,1.09,0,0,0,0.95,0,0,0,9.08,50.5,0.87,0,0,289.85,0,0,0,0,0,0,47.32,6.82,0,0
 48-58,0,0,197.13,0,0,12.16,0,0,1.92,0.92,0,0,0,0,121.71,0,0,2.63,225.2,0,0,0,90.23,0,0,27.04,15.72,0,0
 60-70,0,0,0,0,0,121.44,0,0,1.1,0.75,0,0,0,0,3.34,0,0,0.6,40.62,0,0,0,2.93,0,0,2.87,9.8,0,0
 72-82,0,0,0.56,1.2,0,20.36,0,0,3.15,0,0,0,0,0,7.76,0,4.81,0,41.98,0,0,0,0,0,0,0,4.59,0,0
 84-94,0,0,0,0,0,120.77,0,0,0,0,2.91,0,0,0.6,5.68,0,0,0,191.39,0,0,0,0,0,0,0,16.76,0,0
 96-106,0,0,512.4,4.32,0,453.99,1.05,0,8.05,0,0,0,1.31,162.64,237.29,3.89,0,3.95,20.05,1.05,0,1.33,6.06,0,0,0.6,9.54,0,0
108-118,0,0,797.78,0,4.36,287.01,0,0.62,2.91,1.49,0.41,0.73,0,3.25,9.56,0,0,0,267.65,0,0,0,1.39,0,0.42,0,1.96,2.26,1.34
120,0,0,0,0,0,9.86,0,0,2.82,0,4.72,0,0,3.92,6.91,0,0,0,933.84,0,0,0,0,0,0,0,0,0,0
