stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,32.23,601.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.32,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,7.86,0,0,0,0,0
  7-9,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,113.11,4.51,0,0,34,0,0,0,0,0,0,0
 10-12,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,110.46,10.42,0,0,34.73,0,0,0,0,0,0,0
 14-21,0,0,0,1.75,0,0,0,0,0,0,0,0,1.51,0,0,9.87,0.87,0.84,0,1.86,0,1.07,1.72,0,3.8,0,0
 24-34,0,0,0,1.12,0,2.63,0,0.76,0,0,0,0,0,0,0,40.68,0,4.89,1.39,0,0,0,0,0,13.91,0,0
 36-46,0,0,0,0,0,11.87,0,0,0,0,0,0.86,1.08,0,2.07,62.83,0,0,0,0,0,0,0,0,9.44,5.88,0
 48-58,0,0,0,2.37,0,25.93,0,0,2.55,0,0,4.16,2.26,0,1.01,87.61,0,1,0,0,0,0,0,0.94,9.9,0,0.6
 60-70,0,0,0,0,0,37.15,0,0,1.67,0,1.1,0.85,0,0,0,89.35,0,0,0,0,0,0.82,0,0,16.67,2.55,0
 72-82,0,0,0,0.73,0,43.19,0,0,2.76,0,0,0,8.44,0,0,58.23,0,0.67,0,0,0,0,0,0,4.37,0,0
 84-94,0,0,0,0,0,17.41,2.25,0,3.54,0,0,0,1.71,0,0,46.39,0,1.87,0,0,0,5.31,0,0,0,2.88,0
 96-106,0,0,0,0,3.79,18.24,0,0,9.23,1.13,0,0,4.6,3.24,0.62,20.77,0,0,0,0,0,0.72,0,0,0,1.76,0
108-118,0,0,0,0,0,18.29,0,0,6.64,0,0,0,2.14,0,1.11,28.78,0,1.58,0.48,0,4.04,0,0,0.44,4.28,0,0
120,0,0,0,0,7.35,11.97,0,0,6.63,0,0,0,0,0,0,43.87,0,0,0,0,0,2.69,0,0,0,0,0
