stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  3-4,0,192.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.43,213.65,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0
  7-9,0,6.25,9.17,0,4.45,0,0,0,0,0,0,33.19,0,3.64,0,0,0,0
 10-12,0,0,0,0,9.01,0,0,0,0,0,0,31.67,0,34.46,0,9.43,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0
 24-34,0,0,0,0,0.65,0,0.63,0,0,1.87,0,6.98,0,0,0,0,0.68,0
 36-46,0,0,0,0.75,0,0,0,0,0,0.69,0,4.49,1.54,0,0,0,1.04,0
 48-58,0,0,0,0,1.56,0,0.73,0,0,0.89,1.14,2.56,0,0,0,0,0.96,0
 60-70,0,0,0,0,2.9,0.68,0,0,0,2.48,0,0,0,0,0.76,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,2.81,0.61,2.81,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.62,0.83,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.67,0,0,2.2,0,0,0,7.3,0,0,0,0,0,2.56
108-118,0,0,0,0,1,0,0.56,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0
