stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,33.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,90.68,13.1,0,0,19.21,0,0,0,0,0,4.89,0,0,0,0,0
 14-21,0,0,9.89,1.25,0,0,2.43,0,0,0,0,0,0.89,0,7.01,37.01,0,0,0,0,0,2.7,6.54,0,0.92,9.66,10.86,0,1.55,0,0
 24-34,0,0,0.8,4.35,1.61,0.8,3.06,0,0,1.21,0,0,10.83,0,6.13,174.98,0,0,1.61,0,0,1.72,0,0,0,1.89,40.45,0,3,0,0
 36-46,0,0.96,4.48,10.5,0,0.6,12.23,0,0,0,0,0,9.89,0,5.72,189.54,1.26,2.29,0,0,0,2.03,0,0,0,0,52.16,0,7.02,0,0
 48-58,0,0,8.5,13.88,0,1.99,27.5,0,0,0,0,0,9.85,0,2.68,110.52,0,0,0,0,0.56,0.92,0,0,0,0,24.32,0,0,0,0
 60-70,0,0,2.01,27.16,0,1.49,26.35,0.68,0,0,0,0,20.37,0,1.86,139.3,0,0,0,0,0,7.88,0,0,0,0,23.5,0.9,12.98,0,0
 72-82,0,0,2.74,13.24,0.5,0,14.15,0,0,0,0,0,19.74,0,0.56,64.05,0,0,1.16,0,1.77,2.23,0,0,0,0,6.2,0,1.19,0,0
 84-94,0,0,2.44,16.23,0,0,11.15,0,0,0,0,0.62,28.43,0,0,39.21,0,0,0,0,0,5.73,0,0.8,0,0,8.43,0,4.88,0.77,0
 96-106,0,0,0.64,2.11,0,0,5.62,0.96,0,0,0,0,22.15,0,0,28.03,0,0,0,0,0,2.62,0,0,0.57,0,0,0,0.71,0,3.81
108-118,0,0,3.9,6.08,0.43,0,11.1,0,0,0,1.03,0,24.01,2.1,0.71,36.42,0,0,0.81,0,4.87,0.64,0,0,0,0,0,0,0,0,0
120,0,0,4.62,11.62,0,0,25.09,6.94,0,0,0,0,23.22,0,4.58,181.52,0,2.88,0,0,0,2.4,0,0,0,0,5.23,0,6.12,0,0
