stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5.99,16.78,5.65,0,8.06,0,0,8.73,0,0,0,0,0,0,0,0,16.86,0,0,10.75,257,4.21,2.38,2.75,7.63,0,1.57,20.35,4.33,0,27.33,66.9,0,0,0.82,0,1.35
 24-34,0.8,0,8.59,0,0,18.8,1.44,0,7.93,0,0,0,0.72,0,0,0,0,27.93,0,0,8.03,293.21,0.64,3.9,8.12,0,0,10.26,0,0,1.01,1.38,50.16,0,0,4.1,0,3.51
 36-46,0,0,17.77,0,0,70.18,2.46,7.38,11.46,0,0,0,0,0,0,0,0,35.09,0,1.13,15.14,291.97,1.92,1.54,0,0,0,18.24,0,0.62,0,0,72.63,0,0,3.73,0,0
 48-58,0,0,4.96,0,0,96.47,0,0.58,21.32,0.92,0.88,0,4.34,0,0,0,1.39,28.09,7.16,1.58,4.7,223.12,0,1.28,0,0,0,6.37,0,0.94,0,0,39.47,0,0,2.74,0,0.5
 60-70,0,0,6.03,0,0,107.49,0,1.45,25.58,0.72,0,0.76,0,0.85,4.88,0,0,32.31,1.04,0,6.37,180.25,1.1,0,1.71,0,0,14.31,0,0,0,0,56.09,0,0.63,1.54,0,0
 72-82,0,0,6.04,0,0,80.2,0.99,1.19,18.73,0.53,1.32,0.52,1.35,0,0.56,0.96,0,33.32,0,1.81,7.09,133.36,0,1.44,3.17,0,2.23,3.98,0,0,0,0,26.55,1.8,1.71,0.64,2.71,6.65
 84-94,0.66,1,0.73,0,0,31.3,0,1.29,27.13,0.93,0,0.58,2.8,0,0,0,0,35.08,0,4.59,3.4,85.59,0.65,2.01,0,0,0,14.88,0,0,0,0,18.04,0,0,1.82,0,0.66
 96-106,0,0,4.3,0,0,60.99,0.62,0,12.61,1.54,0,0.89,0,0.57,0.82,0,0,28.05,0,1.91,3.34,71.79,0,6.11,0,0,4.36,6.85,0,1.71,0,0,21.67,0,0,12.11,0,0
108-118,0,0,4.74,0.46,0.53,35.9,0,0,9.76,0,0.69,0,0.99,1.3,0,0,0.52,28.07,0,1.8,1.64,115.53,2.6,0,1.88,0,0,6.65,0,0.94,0,0,0,0,0,3.05,4.5,0
120,0,0,2.7,8.2,0,50.81,2.88,16.89,16.28,2.42,0,2.75,0,0,0,0,0,36.04,0,0,6.17,110.57,0,0,1.28,0,0,2,0,0,0,0,9.81,0,0,2.97,4.11,0
