stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,melanocytes,mucous,mural.cell,neural,olfactory,spinal.cord,taste,vasculature
  3-4,0,73.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.18,90.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0
 10-12,0,0,0,6.56,0,7.94,0,0,0,9.95,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0
 24-34,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,1.32
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.37,0.77,0,11.6,0,2.28,0,0
 48-58,0,0,0,0,0,0,0,0.39,0,0,3.52,0,0.89,0,13.53,0,1.56,0,0
 60-70,0,0,0,0,0,2.75,0,0,0,0,0.84,0,0.9,0,5.85,0,1.97,0,0
 72-82,0,0,0,0,0,12.36,0.81,0,0,0,2.58,0,3.09,0,45.28,0,1.87,0,0
 84-94,0,0,0,0,0,0.61,0,0,1.21,0,1.66,0,2.97,0.89,32.55,0,0,0,0
 96-106,0,0,0,0,0.56,4.64,0,1.45,0.81,0,0.93,0,0.97,0,31.59,0,0,0,0
108-118,0,0,0,0,0,11.01,0,0,0.55,0,1.07,0,0.53,0,20.94,1.77,0,0.44,0
120,0,0,0,0,0,0,0,0,1.26,0,5.92,0,0,0,81.17,0,0,0,1.46
