stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,14.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,5.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.72,0,0,0,0,0,0.81,0,0,0,0,0,1.02,0,0,24.11,1,0,0,0,0,0,0.93,0,0,5.25,0,0,0
 24-34,0,0,0,0,5.33,0,0,2.43,0,0,0,0,0,0,10.62,0,0,50.13,0,0,0,0,0,0.95,0,0,0,16.93,0,2.3,0
 36-46,0,0,1.04,0,9.74,0,0,2.34,0,0,0,0.71,0,0,8.51,0,3.04,65.36,0,0,1.23,0,0,0,0,0,0,5.09,0,2.86,1.19
 48-58,0,0,0.51,0,9.26,0,0,0,0,0,0,0,0,0,5.37,0,0.49,35.45,0.67,0,0,0,0,0,0,0,0,15.96,0,0,0.94
 60-70,0,0,0.63,0,6.86,0,2.09,0,0,0,0,0,0.84,0,9.87,0,3.46,20.09,0,0,9.91,0,0,0,0,0,0,8.18,0.67,2.55,0
 72-82,0,0.68,2.04,15.86,24.55,0,1.27,2.48,0,1.27,0.93,0,0.65,0,6.87,1.41,0,20.23,0,0,0.71,0,0,0,0,0,0,3.7,0,1.13,0
 84-94,0,0,0,19.68,1.46,0.94,0,5.49,0,0,0,0,0,0,6.2,0,1,45.62,0,0,4.04,0,0,1.64,0,1.11,0,10.04,0,4.33,0
 96-106,0,0,8.13,14.01,7.63,0,0,0,0,0.61,0,0,1.73,0,23.51,0,1.69,23.33,0.62,0.76,5.14,0,0,3.3,0,0,0,3.56,1.76,0,2.61
108-118,0,0,3.38,9.6,11.41,0.43,0,4.71,1.35,0,0,0,0,0.45,16.53,0.57,0,18.33,0,0,0.64,0,0,0,0,0,0.42,0,3.3,3.36,0
120,0,0,1.79,0,3.37,12.64,1.26,0,0,0,0,0,0,0,22.27,0,0,35.29,0,0,0,0,3.68,0,0,0,0,0,0,0,0
