stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,6751.73,158438.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4164.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,3635.08,68012.17,0,58.91,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,781.04,0,0,0,200.87,1637.64,0,0,0,0,0,0,0,0,0,0,0
  7-9,104.33,409.79,0,1020.21,0,0,0,345.1,0,0,0,0,68.81,0,0,0,0,0,0,0,0,0,0,6006.11,652.98,0,0,15165.32,22.31,52.08,0,82.58,0,0,0,0,0,0,0,0
 10-12,3.8,795.96,0,1219.25,0,0,0,201.35,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,3035.08,196.97,0,0,10693.11,4.49,12,0,1620.46,0,11,0,0,0,0,0,0
 14-21,0,0,0,5.6,24.1,4761.98,0,10.02,0,0,12.7,5.4,0,1.66,13.56,3.14,0,0,2.33,24.64,0,0,11.39,306.08,4.23,0,1.74,12.27,2.3,0,331.35,1,1.2,34.18,62.37,0,0,0,0,0
 24-34,0,0,0,0,3.32,2467.44,0,72.77,0,1.31,9.02,0.85,0.76,0.62,19.09,2.93,0,0,0,43.19,4.04,0.81,12.97,658.53,2.43,11.28,4.84,0,8.25,0,0,0,0.66,10.34,200.6,0,0,143.69,0,4.01
 36-46,0,0,0,0,3.77,383.01,0,72.12,0,0,9.69,0,0,0.56,6.52,0,0,0,0,16.85,7.05,1.35,2.98,433.19,1.32,4.79,1.19,0,8.98,0,0,0,0,0,122.33,0,0,33.67,0,0.64
 48-58,0,0,0,0,1.79,211.46,0,141.95,0,2.5,19.12,0,0,0.88,1.09,1.16,0,0,0,20.33,8.38,1.21,1.8,159.05,0,2.2,0,0,5.36,0,0,0,0,0,53.18,0,0,55.64,0,5.39
 60-70,0,0,0,0,1.55,219.71,0,94.83,5.31,0,11.22,0,0,0,3.4,0,0,0,0,37.33,0,6.53,0,106.52,0,0,0.91,0,0.85,0,0,0,0,0,10.79,0,1.03,40.29,0,5.27
 72-82,0,0,1.09,0,5.67,454.98,0,48.81,0,0,14.09,2.04,0,0,13.75,0.58,0,0,0,29.22,7.45,0.93,0.73,106.72,0,0,2.59,0,0.91,0,0,0,0,0,14.25,1.69,0,52.28,0,0
 84-94,0,0,0.94,0,4.5,429.88,0,40.09,0,0,8.14,0,0,0,22.99,0.55,0.55,0,0,17.85,7.66,0,6.7,41.55,0,0,0.76,0,0,0,0,0,0,0,4.17,0,0,28.05,0.63,0
 96-106,0,0,5.6,0,11.48,591.96,0,41.67,0.74,5.1,5.64,3.57,0,0,14.88,1.82,0,0.58,11.28,47.56,8.83,2.27,0,40.94,0,1.45,1.01,0,8.76,0,0,0,0,0,5.31,0,0,20.75,0,0
108-118,0,0,0,0,14.51,663.87,1.93,34,5.56,2.02,7.15,1.79,0,0,14.87,4.09,1.67,0,0,33.61,11.43,1.85,1.15,87.94,0,1.31,1.16,0,7.33,0,0,0.61,0,0,1.92,0,0,38.43,0,0
120,0,0,0,0,11.56,688.29,0,21.88,0,0,0,0,0,0,9.09,11.17,0,0,1.34,17.74,0,2.35,0,89.28,0,2,0,0,1.89,0,0,0,0,0,7.3,0,0,52.38,0,0
