stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,57.61,993.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0
  5-6,53.79,1091.47,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,24.82,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.13,18.51,0,0,20.02,0,0,5.5,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,9.55,0,0,0,0,0,0
 14-21,0,0,2.12,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,12.26,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0
 24-34,0,0,0.96,0,0.76,0.84,2,0,0.82,0,0,0,0,0,0,0,0,0,1.6,0,0,129.3,0,0,0,0,0,0.67,0,0,0,0.6,54.96,0,0.62,0
 36-46,0,0,0,0,0,0,12.02,0,19.36,0,7.7,0,0,0,0,0,0,0,0,0,0,392.92,0,1.48,0,0,0,0,0,0,0,0,78.65,0,0,0
 48-58,0,0,0,0,1.65,0,39.31,0,9.12,0.6,8.04,0,0,0,0,0,0,7.2,7.22,0,1.86,693.15,0,0,0,0,0,0,0,0.37,0.55,0,98.46,0,0,0
 60-70,0,0,0,0,0,0,200.4,0,5.93,0,14.65,0,0,0,0,0,0,5.24,17.82,0,1.33,974.89,0,0,0,0,0,3.06,0,1.17,0,0,139.8,0,0,0
 72-82,0,0,0.87,0,5.5,0.58,434.36,1.84,0,0,105.24,0.71,0,0,0,0,0,0,15.54,2.24,2.81,1344.61,0,1.32,0,0,0,0,0,0,0,0,105.19,0,0,0
 84-94,0,0,1.33,0,3.25,5.65,315.24,0,8.95,0,60.27,0,0,3.5,0,0.65,0,0,22.79,1.67,0,875.12,0,0,0,0,0,0,0,0,0,0,71.44,2.39,1.18,0
 96-106,0,0,0,0,3.58,0.99,480.1,0.62,0.95,0,117.09,0.85,0,1.28,0.75,0,0,0,29.81,4.02,1.55,814.64,0,0,0.65,0,0.97,12.19,0,0.69,0,0,34.24,0,1.58,0.8
108-118,0,0,0,0,11.95,1.32,332.48,0.65,2.99,0,127.38,0,0,0,0,0.82,5.07,0,23.4,0,2.89,915.56,0,0,0,0,0,1.16,0,3.83,0,0,13.68,0.57,1.03,0
120,0,0,4.34,0,46.18,0,232.66,0,0,0,187.37,0,0,0,3.78,0,0,7.7,12,0,5.1,1363.5,0,0,0,0,0,1.44,0,0,0,0,76.03,0,0,0
