stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,16.62,0,0,12.05,5.34,0,0,0,0,0,0
 10-12,0,15.17,0,0,3.61,0,0,0,0,0,0,0,0,0,0,38.2,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,11,7.33,11.17,0,0,0,0,0,0,2.82,0,0,0.86,9.45,1.05,0,0.93,0,5.12,0.96,0,2.11,0,1.01,0
 24-34,0,0,0.75,0,1.27,0,0,0,0,0,0,3.87,0,0,0,8.45,0,0,2.28,0,4.14,0,0.71,1.29,0,3.72,0
 36-46,0,0,2.02,0,0.88,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24,0,0,1.91,0,1.29,0
 48-58,0,0,0.48,0,0,0.46,0,3.21,0,0,0,0.42,2.57,0,0,3.84,0,0,0,0,3.46,0,0,0,0,1.22,0
 60-70,0,0,1.97,0,0,0,0,0.64,0.6,0,0,0,0,0,0.59,0.86,0,0,0,0,2.07,0,0,0,0,1.66,0
 72-82,0,0,0,0,0,0,0,0.53,1.13,0,0,2.27,0.58,0,0,1.95,0,0,0,0,0.61,0,0,0,0,4.05,0
 84-94,0,0,2.25,0,0,0,0,1.44,2.93,0,0.78,2.83,0,0,0,1,0,0,0,0,5.69,0,0,0,0.61,2.98,0
 96-106,0,0,7.61,0,0,2.27,0,2.19,0.65,0,0,4.47,0,1.26,0,1,0,0,0,0,7.53,0,0,0,2.57,1.47,0.64
108-118,0,0,6.72,0,0,1.39,2.58,2.52,0.91,0,0,1.44,0,0,1.13,8.96,0,0,0,0,17.1,0,0,0,0,4.36,0
120,0,0,2.53,1.68,0,3.33,0,0,0,1.63,0,6.43,1.16,0,0,2.72,0,2.89,3.16,0,4.79,0,0,0,6.78,4.92,0
