stage,axial,blastomeres,eye,fast.muscle,glial,immune,ionocyte,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,21.95,19.39,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0
  5-6,0,20.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.24,0,0,0,0,0,7.82,0,0,3.28,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4,0,7.65,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0.71,0,0,0
 36-46,0,0,0.73,4.91,0,0,0,0,4.67,0,0,0,0,0,0,1.04,0
 48-58,0,0,0,5.58,0,0,0,0.92,8.23,0,0,0,2.58,0,0,0,0.87
 60-70,0,0,18.87,3.13,1.85,6.67,1.16,0,14.35,0,0,0,0,0,1.25,0,0
 72-82,0,0,0,6.54,0.8,0,0,0,3.99,0,1.12,0,0,0,0,1.21,0
 84-94,0,0,0,0,1.38,0,0,0,4.1,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.79,0,0,0.76,1.62,0,0,0,0,0,1.07,0
108-118,0,0,7.94,0,1.71,0,0,0,0.52,0,0,0,0.8,0,0.42,0,0
120,0,0,7.71,0,8.94,4.75,0,0,2.95,0,0,0,0,2.05,0,0,0
