stage,axial,blastomeres,eye,immune,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,31.79,164.34,0,0,0,0,10.92,0,0
  5-6,8.36,157.26,0,0,0,0,0,0,0
  7-9,0,0,6.09,0,25.19,14.09,0,0,0
 60-70,0,0,0,0.82,0,0,0,4.61,0
 96-106,0,0,0,0,0,0,0,0,1.76
108-118,0,0,0,0,0,0,0,0,0.59
120,0,0,0,0,0,0,0,0,6.73
