stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0,18.19,0,0,0,0
 24-34,0,2.74,1.17,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0.77,315.57,0,0,0.69,0,3.1,156.43,0,0,0,0
 36-46,0,0.73,0.6,0,0,19.84,0,0,0,10.39,0,0,0,0,0,0,0,1.45,0,2.35,0,855.93,0,0,4.08,0,3.67,191.98,0,0.91,0,0
 48-58,0,1.55,8.56,0,0,43.54,0,0,0,75.28,0,0,0.68,0,6.3,0,0,6.97,0,5.79,2.21,1179.28,0,1.3,0,1.18,0.49,154.26,0,0,0,2.3
 60-70,0,0.7,6.96,0,0,95.38,0,3.43,0,26.05,0,0,9.23,0,14.87,0,0,16.46,0,2.98,0,1794.12,0,1.15,1.23,0,0.63,194.17,0,0,0,0
 72-82,0,0,5.15,5.13,0,123.13,0,0,1.01,25.28,1.68,0.89,2.95,0,0,0,3.31,22.15,2.55,6.34,0.57,1548.75,0,5.8,0,1.1,2.07,139.86,10.38,1.31,0.69,7.54
 84-94,0,4.3,4.73,0,0,193.96,0,0,0,12.65,1.94,0,0,1.95,0.63,6.85,1.36,19.63,0,13.46,5.42,1071.36,0,4,0,0,8.15,48.48,7.91,1.08,4.26,0
 96-106,0,1.71,17.65,1.23,0,168.23,0,0,0.76,14.95,1.38,0,0,0,0,0,0,15.87,0,9.01,0.61,940.08,2.63,0.71,0.63,3.81,5.41,43.51,5.65,9.48,9.86,0.62
108-118,0,0.55,4.46,1.81,0.45,153.84,0.98,0.6,0,14.1,0.43,0,1.24,0,0,0,0,17.28,1.38,6.63,0,1153.12,0,5.6,0,0,1.45,46.36,1.46,0,3.73,1.42
120,0,0,41.56,0,0,302.61,0,0,0,18.37,0,0,5.33,0,0,5.29,0,22.37,0,32.76,0,2093.36,0,6.57,0,0,1.12,69.47,7.39,0,6.64,0
