stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,266.71,3331.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.73,0,0,0,0,0,0,0,0,0,0
  5-6,134.44,2192.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.78,0,0,0,0,0,34.01,0,0,0,0,0,0,0,0,0,0
  7-9,38.66,8.15,0,158.58,0,0,28.05,0,0,0,0,0,56.29,0,0,0,0,0,0,0,0,0,0,0,618.41,7.57,0,0,275.6,0,8.05,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,6.72,0,64.97,0,0,32.15,0,0,0,0,0,31.99,0,0,0,0,0,0,0,0,0,0,0,409.56,0,0,0,105.41,0,0,9.34,0,19.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,25.62,26.89,0,0,19.45,0,0,0,0,0,0,3.47,0,0,0,0,532.56,0,0,287.48,66.85,3.62,0,0,0,0,4.21,0,2.01,0,6.39,91.51,0,0,0,0,0
 24-34,0,0,0,3.65,8.41,3.88,5.78,0,142.32,0,0.8,0,0,2.75,0.65,3.58,0,0,3.43,0,1000.82,0,0,252.58,258.47,0,1.27,6.83,0,0,12.18,0,0.85,5.32,0,296.83,0,0,5.21,0,0
 36-46,0,0,0,0,16.29,0,22.92,1.33,192.03,28.67,1.87,0,0,2.47,0,1.33,0,0,0,0,1464.24,1.31,8.15,422.32,432.29,0,2.98,10.74,0,0,21.55,0,0,0,0,173.69,0,0,0,0,0
 48-58,0,0,0.44,0,27.1,0,70.31,2.23,224.71,114.57,17.63,0.38,0,0.75,0,0,0,0,0,0,1695.17,0,9.39,279,479.57,7.05,0,14.57,0,0,2.16,0,0,0.56,0,137.06,0,2.7,0,0,0
 60-70,0,0,0,0,58.67,0,128.58,1.01,237.8,254.93,15.7,1.62,0,0,0.6,3.34,4.1,0,0,2.61,2035.99,2.95,27.18,112.65,443.95,0,0,29.22,0,0,16.4,0,0,0,0,96.64,0,13.93,6.7,2.06,0
 72-82,0,0,0.87,0,55.52,12.88,145.67,0.9,189.2,260.2,22.33,3.37,0,5.15,0.71,1.96,5.8,0,0.82,4.57,1684.05,0.61,56.01,95.1,441.64,1.29,0,26.08,0,0,8.93,3.31,0,0.66,0,34.33,0,26.16,6.87,9.06,0
 84-94,0,0,4.46,0,96.92,7,153.01,0,281.33,203.02,9.91,0,0,6.69,0,1.53,5.48,1.91,0,23.36,1566.12,1.51,86.98,34.86,291.84,1.23,2.35,42.15,0,0,33.7,0,0,2.2,0,20.44,0.85,40.37,25.89,21.47,0
 96-106,0,0,1.8,0,116.89,0,142.66,3.08,275.52,142.35,10.09,1.73,0,13.82,0,11.58,6.38,1.11,0.57,24.2,1048.26,0.92,50.88,22.25,244.64,0,2.95,36.5,0,2.97,18.01,0,0,5.88,0,10.45,0,15.09,7.06,50.02,0
108-118,0,0,0,0,113.06,0,114.39,0,299.88,163.61,12.07,0,0,2.43,0,5.87,4.57,0,0,23.32,1204.09,0,49.71,33.52,288.05,0,1.64,43.55,0,6.45,21.8,0,0,6.57,0,3.66,0,18.98,7.88,18.85,6.27
120,0,0,0,0,86.36,0,74.65,0,225.54,189.25,2.8,0,0,8.47,0,3.03,13.27,0,0,8.84,920.64,0,47.08,12.07,390.07,0,0,24.23,0,0,2.43,0,0,0,0,27.99,1.28,17.68,0,26.25,0
