stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,neural,notochord,olfactory,otic,spinal.cord,vasculature
  3-4,20.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.02,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,32.37,4.5,0,0,0,0
 10-12,0,0,0,0,0,0,4.16,0,0,0,0,0
 14-21,0,0,0,0,2,0,2.18,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.95,0,0,0,0.78,0
 36-46,0,0,0,0,0,1.52,4.12,0,1.25,0,0,0
 48-58,0,0,0,0,1.42,0.73,9.31,0,0,0.7,1.82,0.81
 60-70,0,0,0,0,3.85,0,6.18,0,0,0,0,0
 72-82,0,0,1.18,0,0,1.35,16.28,0,0.5,0,0,0
 84-94,0,0,0.62,4.61,0.79,0,0.79,0,0,0,0,0
 96-106,0,0,0,0,0,0,9.63,0,1.08,0,1.89,0
108-118,0,0,0,0,0,0,5.64,0,0,0,0,0
120,0,0,0,0,4.24,0,16.38,0,0,0,0,0
