stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,428.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.32,996.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.14,0,0,0,18.39,0,9.04,0,0,0,0,0,0,0,0,0,0
  7-9,3.27,29.42,0,0,0,18.66,0,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,243.24,14.63,0,0,93.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.51,20.65,0,0,52.13,0,0,0,0,14.39,0,8.15,4.47,0,0,0,0
 14-21,0,0,1.11,7.21,6.04,4.86,0,0,45.59,0,0,0,0,0,0,0,0,0,3.37,0,0.91,124.03,8.3,12.82,12.18,2.08,0,0,1.53,0.94,40.67,3.45,0.82,141.63,0,1.8,0,0
 24-34,0,0,3.63,11.47,2.49,18.31,0,0,41.48,0.67,0,0,0,0,0,0.78,0,0.66,8.38,0,1.68,244.5,0.62,62.91,10.52,0,0,0,0,0,23.61,0,0.64,107.48,0,11.48,0,0
 36-46,0,0,0,3.51,0,154.19,0,0,18.15,0,0,0,0.64,0,0,0,0,0,1.37,0,0,294.83,0,38.46,0,0,0,0,0,0,8.92,0,0,70.47,0,2.34,0,9.26
 48-58,0,0,0,0,0,196.98,0,0,29.83,1.26,0,0,0,0,0,0,0,0,0.91,0.76,1.69,237.52,0,29.44,4.55,0,0,2.06,0,0,1.34,0,0,83.83,0,0.77,0,3.04
 60-70,0,0,0,0,3.84,218.65,0,0,42.85,0,0,0,0,0,0,1.34,0,0,2.58,0,0.68,278.67,0,21.16,7.38,0,0,3.19,0,0,3.18,0,0,33.27,0,0.71,0,7.82
 72-82,0,0,1.09,1.59,1.94,132.2,0,0,37.78,2,0,0,1.02,0,0,5.05,0,0,1.1,0,0.56,249.52,0,42.04,9.43,0,0,0,0,0,0,0,0,26.41,1.83,6.4,0,0
 84-94,0,0,0.73,0.87,0,133.1,0.62,0.69,21.66,0,0,1,0,0.58,0.71,2.49,0,0,5.93,0,0,159.56,0,30.39,14.51,0,0,0,0,0,4.14,0,0,14.39,0,1.1,0,0
 96-106,0,0,1.64,0,0,157.03,0,0,30.72,2.56,0,0,0.62,0,0,8.39,1.3,0.65,4.51,0,0,123.44,0,27.85,22.83,0,4.36,0.79,0,0,2.56,0,0,7.98,0,2.4,3.41,0
108-118,0,0,0,1.78,0.61,86.69,0,0,34.38,0.81,0,0,0,1.85,5.25,5.77,0,0,13.74,0,0,271.67,0,50.06,8.96,0,1.02,2.07,0,0,1.86,0,0,9.12,1.29,1.26,0,0
120,0,0,0,2.14,0,178.06,3.55,0,25.88,0,0,0,1.18,1.63,0,3.55,0,0,11.89,0,0,447.57,0,7.98,12.72,0,0,6.16,0,0,9.87,0,0,26.8,0,0,0,0
