stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.01,1208.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,86.27,887.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.69,0,0,0,23.15,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,28.25,0,11.12,0,0,0,102.59,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0,0,429.23,18.17,0,0,149.54,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,22.92,0,50.68,0,0,0,47.91,0,0,0,0,0,32.75,0,0,0,0,0,0,0,0,0,0,0,590.13,50.74,0,0,241.83,0,0,10.79,0,47.78,0,0,0,0,0,0,0
 14-21,0,0,0,3.88,13.17,8.42,0,8.91,0,0,0,2.8,0,1,2.04,0,0,0,0,0,1.07,10.3,0,0,11.47,118.06,2.99,0,2.04,2.14,0,7.05,0,16.31,0.89,3.31,39.56,38.2,0,1.5,0,0
 24-34,0,0,0.62,0,9.24,0.81,0,14.78,0,0,1.15,1.46,0,0,0,0,1.32,0,0,2.2,0,23.47,0,0.89,11.87,183.07,1.26,4.35,2.95,0,0,1.67,0,0,0.64,0.61,7.98,47.92,0,22.87,0,1.45
 36-46,0,0,0,0,7.78,0,0,47.28,0,0,0.62,12.94,0,0,2.03,0.67,0,0,0,0,0,43.17,0,1.12,9.72,242.61,0,4.26,1.46,0,0,3.13,0,0,0,0,0,56.31,0,4.27,0,0
 48-58,0,0,0,0,1.44,0.58,0,53.26,1.24,0,3.03,22.07,0,0,0.85,2.33,0.37,0.4,0.39,0,0.56,31.13,0,8.74,7.6,221.86,0.44,5.52,1.4,0,0,1.19,0,0,0,0,0,42.13,0,8.19,0,0
 60-70,0,0,0,0,6.75,0,0,104.27,0,1.18,0,19.61,0,0,0,0,0,0.98,0.77,0,0,21.91,0,6.24,4.27,234.47,0,7.98,11.29,0,0,1.59,0,0,0.6,0,0,38.1,0,7.74,0,3.58
 72-82,0,0,0,0,8.4,1.75,0,100.36,0,0,0.5,29.91,0.86,0,1.65,1.06,0.55,0,0,2.79,0,31.86,0,0,2.97,224.48,0,3.58,0.89,0,0,4.19,0,0,0,0,0,17.48,0,8.87,2.78,0.89
 84-94,0,0,0.85,0,5.66,0,2.83,57.45,0,4.22,0,17.75,1.8,0,0,2.16,0,0,2.43,0,0,20.24,0,0,4.5,155.78,0.98,3.54,3.28,0,0,2.27,0,0,0,0,0,9.5,1.16,28.07,0,0
 96-106,0,0,0,0,9.97,0,0,75.15,0,0,0,31.63,1.06,0,0.75,4.91,0.72,0.74,1.31,0,0,18.16,0,1.63,2.52,159.82,0,9.48,3.69,0,4.36,4.78,0,0,0.87,0,0,8.86,1.48,1.77,1.41,7.56
108-118,0,0,0,0,6.12,0,4.33,69.27,1.08,0,1.51,15.51,0,0,0,4.07,0.47,2.17,0,0.55,0.54,28.11,0,0.79,4.45,142.71,0,5.37,1.07,0,0,7.38,0,0,0.42,0,0,3.07,0.42,4.05,0.42,6.61
120,0,0,0,0,24.03,0,0,65.51,1.18,2.36,19.92,94.25,0,0,0,3.99,2.56,0,0,0,0,86.38,1.72,17.89,4.05,328.91,10.09,24.04,6.2,0,0,0,0,0,3.15,0,0,22.13,1.37,14.98,8.57,0
