stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,44.06,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.58,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.11,0,0,18.01,0,0,22.24,16,0,30.98,0,0
 10-12,0,0,0,0,0,0,0,7.35,0,68.95,0,0
 24-34,0,0,0,1.39,0,0,3.64,0,0,0,0,0.69
 36-46,0,0,0,0.78,0,0,5.14,0,0,0,0,1.62
 48-58,0,0,0,10.55,0,0,14.19,0,0,0,0,3.53
 60-70,0,1.05,0,161.72,0,1.37,12.41,0,0,0,0,0
 72-82,0,0,0,192.65,0.79,1.02,15.67,0,0,0,1.56,0
 84-94,0,0,0,94.18,0,3.32,4.02,0,0,0,0,0
 96-106,0,0,0,142.02,0,0,8.04,0,1.96,0,0,0
108-118,0,0,0.6,89.78,0,1.19,5.78,0,0,0,0,0
120,0,0,0,39.05,0,15.16,0,0,0,0,0,0
