stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,0,30.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.59,133.47,0,0,0,0,0,0,0,0,0,0,21.62,0,0,0,0,0,0
  7-9,4.68,0,3.52,0,0,20.14,0,4.39,0,0,0,0,107.63,0,35,0,0,0,0
 10-12,0,3.32,12.34,0,0,4.19,0,0,0,0,0,0,147.35,5.8,33.67,0,0,19.25,0
 14-21,0,0,0,1.76,0.82,0,0,0,0,0,1.04,0,4.51,0,0,0,0,0,0.9
 24-34,0,0,0,0,0,0.62,0,0,0,0,0,0,3.62,0,0,0,0,0,1.77
 36-46,0,0,0,0,0,2.73,0,0,0,0,1.45,0,4.65,0,0,0,0,0,0
 48-58,0,0,0,0,0,10.49,1,0,0,0,1.56,0.64,3.28,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.22,0,0,0,1.77,0,0,6.46,0,0,0,0,0,0
 72-82,0,0,0,0,0,10.53,0.56,0,1.07,0,3.29,0,10.76,0,0,0,0,0,0
 84-94,0,0,0,1.32,0,4.41,0,0,0,0,0,0,1.86,0,0,0,0,0,0
 96-106,0,0,0,1.8,0,12.16,0,0,0,2.15,0.57,0,10.54,0,0,0.72,0,0,0
108-118,0,0,1.47,1.13,0,8.87,2.07,0,0,2.65,1.31,0,6.37,0,0,2.24,2.47,0,0
120,0,0,0,0,0,0,0,0,0,11.78,0,0,10.46,0,0,0,2.3,0,14.95
