stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,16.62,426.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,516.16,0,0,0,0,0,0,0,14.25,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.26,0,0,11.74,0,0,0,6.79,0,0,249.31,9.23,0,0,60.3,0,0,0,0,0,0,0
 10-12,0,10.87,0,0,0,9.79,0,0,0,7.63,0,0,156.79,0,0,0,0,0,11.99,0,0,0,0,0
 14-21,0,0,0,1.1,0.87,2.71,0,0.89,0,0,0.86,1.89,15.91,0,0.85,0,0,0,0,0.83,3.71,0,0,0
 24-34,0,0,0,0.63,0,0,0,0,0,0,2.83,1.31,35.64,0,0.62,0.62,0,0.74,0,0,4.58,0,0.77,0
 36-46,0,0,0,0,0,5.39,0,0,0,0,2.63,0,12.47,0,0.68,0,0,0,0,0,5.03,0,0,0
 48-58,0,0,0,0,0,8.01,0,2.51,2.4,0,3.52,1.27,21.83,0,0.68,0,0,0.41,0,0,4.01,0,0,0
 60-70,0,0,0,0.67,0,1.85,3.61,0,0,0,0,0,5.4,0,0,0,0,0,0,0,3.09,0,0,0
 72-82,0,0,0,0,0,5.81,0,1.66,0,0,1.01,0.78,21.32,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,6.81,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.41,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0
108-118,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0.46,0,0,0.61,0,0,0,0.51,0,0.5
120,0,0,0,0,0,0,0,0,0,0,1.78,0,21.31,0,0,0,0,2.35,0,0,0,0,0,0
