stage,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  5-6,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.8,0,0,0,5.55,0,0,4.08,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,7.91,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0,0,0,0,1.46,0
 24-34,0,0.6,0.8,0,0,0,0,0,0,0.72,0,11.89,0,0,0,0,0,0,2.24,0.91
 36-46,0,0,0,0,1.45,0.76,0,0,0,1.83,1.15,15.73,0.61,0,0,0,0.81,0,2.99,0
 48-58,0,0,2.7,0,0,4.56,0,0,0,7.14,0.58,13.74,0,0,0,0,0,0,6.81,1.88
 60-70,0,0,0,0,0,0,0,0,0,6.51,0,7.22,0,0,0,0,0,0,0,0
 72-82,0,1.11,7.13,0,0,2.43,0,0,0,7.21,0,8.33,0.98,0,0,0,0,0,0,0.75
 84-94,0,0,3.36,0,0,2.96,1.77,0,0,10.04,0,8.61,0,0,0,1.59,0,0,1.97,4.34
 96-106,0,0,10.69,0,0,1.2,1.61,0,0.57,5.88,0,6.05,0,1.78,0,0,0,0.61,0,0
108-118,0,0,0.49,1.25,0,3,0.7,0,0,2.11,0,10.13,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,13.51,0,0,4.89,0,36.59,0,0,0,0,0,0,0,0
