stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,8.61,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.71,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0.81,217.41,0,0,0,0,0,0,74.03,0,0,0,0,0
 24-34,0,0,0,0,0.81,1.21,8.96,0,0,0,87.98,0,0,0,0.83,0,0,1.84,0,15.24,0,0.94,4538.42,0,1.44,0,5.46,0.83,1.02,1072.63,0,0,2.36,0,0.86
 36-46,0,0,0,0,3.19,1.38,61.49,0,3.2,0,877.11,0,0.88,1.3,21.73,0,0,0,0.67,16.23,0,3.7,8065.2,0.8,1.65,2.29,17.26,0,0,3111.86,0,1.04,1.57,0,0
 48-58,0,0,0,0,28.7,0,218.14,6.79,5.73,0,1444.02,0,0,1.07,0.5,0,0.68,0,0,31.58,0.94,6.91,3636.57,0,1.58,0.38,2.9,0,0,2557.24,0,0,1.6,0,14.75
 60-70,0,0,0,0,4.55,0,181.47,0,0.83,2.54,1409.65,0,0.76,0,0,0,0,0,0,17.43,0,0,2808.89,0.83,0,6.18,2.4,0,0,992.68,0,0,0,0,34.55
 72-82,0,0,0,0,2.54,4.05,113.89,0,3.29,0,919.37,0,0,1.55,0,0,0,0,1.42,25.44,0,3.25,1435.04,0,0,8.31,1.42,0,0,201.53,0,0.87,12.04,0,2.26
 84-94,0,0,1.01,0,7.56,1.66,120.19,0,0,1.92,702.44,0,0,0,0,0,0,0,0.85,18.09,0.92,3.6,828.15,0.64,0,0,0,0,0,225.73,0,0,0.57,2.14,0
 96-106,0,0,0,0,7.43,6.54,65,0,0,0.64,514.21,0,0,0,3.17,0,0,6.89,0.67,12.39,0,2.41,654.66,0.97,0,0.94,6.72,0,0,48.39,2.7,0,0,0,1.22
108-118,0,0,0,0,5.85,1.13,70.06,0,0,0,613.78,1.45,0,0,1.4,2.02,0,0.43,0,23.98,0,0,912.46,0,0,6.48,0,0,0,48.12,0,0,0.93,0,0
120,0,0,0,0,2.38,0,56.86,0,0,6,1153.72,0,0,0,0,0,0,0,0,16.2,2.35,1.04,1587.1,0,0,21.49,2.12,0,0,148.67,0,0,7.51,0,0
