stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.19,33.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,39.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.85,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.09,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,72.12,7.36,0,0,6.26,0,4.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.65,14.79,4.1,0,5.8,0,0,0,0,0.84,1.07,0,0,152.87,0,0,0,0,0,4.52,0,3.11,19.31,8.54,0,0,0,0,49.5,2.93,1.27,8.86,8.6,0,0,1.62,0,0.98
 24-34,0,0,0.9,1.82,10.78,2.24,0,8.03,0.91,1.95,0,0,0.69,0,2.02,1.36,137.29,0,0,0,0,6.95,11.73,0,6.31,103.23,17.3,0,5.77,0,0,106.25,4.42,0,0,11.79,0,0,26.09,0,2.44
 36-46,0,0,0,0,18.47,1.12,0,4.91,0,1.66,0.61,7,0,0,2.03,7.05,39.72,2.21,1.17,0,4.3,28.34,5.16,0,3.71,134.58,1,2.9,2.18,0,0,120.11,1.56,0,0,23.44,0,0,5.23,0,4.4
 48-58,0,0,0.46,0,18.39,2.52,0,28.53,1.6,1.75,0,13.78,0,2.35,0,13.72,25.79,0.91,1.77,0,1.29,21.88,0.65,0,6.82,83.53,6.5,0,0.82,0,0,106.99,0,0.4,0,19.03,0,0,5.38,0,2.21
 60-70,0,0,0,0,15.27,0.74,0,61.53,1.35,4.61,2.32,18.02,1.57,0,1.17,3.62,22.46,1.54,2.57,0,0,67.48,0.57,8.11,8.69,78.59,1.07,12.79,2.27,0,0,94.87,1.06,4.71,0,28.18,0.61,0,10.27,0,14.33
 72-82,0,0,1.62,0,11.44,45.98,0,63.41,1.43,3.08,8.98,23.85,4.21,0,0,9.71,23.83,3.35,0.72,6.17,0,95.11,4.8,1.41,7,71.45,0.88,5.6,2.96,0,0,63.29,0,0.56,0,25.79,1.34,0.5,29.21,1.61,13.91
 84-94,0,0,0,0,37.27,45.39,0,89.51,5.46,2.38,1.45,3.5,7.42,0,0,11.37,58.48,19.4,0,1.81,4.76,98.57,8.73,0,1.35,94.1,2.6,1.46,0.59,0,0,193.14,3.22,1.46,0,1.23,2.86,2.05,13.82,4.45,1.88
 96-106,0,0,0,0,40.35,50.64,1.54,79.72,0.7,16.32,0.75,36.7,10.12,0,0,13.43,47.38,5.49,6.77,0,0.69,105.17,2.04,0,6,84.03,2.51,8.92,4.08,0,0,217.3,0.73,0,0,9.07,6.02,0,37.28,1.66,5.51
108-118,0,0,0,0,44.71,35.16,12.35,61.84,5.34,8.61,4.61,53.72,5.44,0,2.82,19.12,74.5,6.31,4.51,4.58,10.08,125.12,15.87,5.12,7.89,95.9,1.64,8.13,15.38,0,5.55,184.15,0,1.31,0,0.61,3.84,0.5,25.63,2.07,1.98
120,0,0,8.41,0,93.31,32.83,2.92,73.63,17.84,7.75,5.02,48.6,30.49,0,9.97,15.12,21.17,10.15,2.89,0,0,112.73,5.62,10.15,1.02,129.88,17.29,0,42.92,0,16.5,116.18,2.89,2.72,0,3.65,1.19,0,24.98,1.59,8.1
