stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,192.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0
  5-6,75.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,26.39,0,0,0
  7-9,0,0,0,18.12,0,0,0,0,0,0,0,0,0,57.28,0,0,0,10.62,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,52.84,9.4,0,0,14.19,0,12.79,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0.82,0,1.1,0,4.3,0
 24-34,0,1.06,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,1.53,0,1.24,0
 36-46,0,0,1.31,1.41,0,0,1.48,0,0,0,0,0,0,15.45,0,0,0.97,0,0.6,0,1.51,0
 48-58,0,0,0,0.38,0,0,1.13,0,0,0,0,0,0.38,27.09,0,0,0.43,0,0,0,0.54,0
 60-70,0,0,1.58,3.47,0,1.34,0,0,0,0.81,0.8,0,0,13.89,0,0,1.59,0,0,0,1.5,0
 72-82,0,0,17.5,1.31,0,0,2.05,0,5.26,0,3.31,2.13,1.19,15.4,0,0,0,0,0,0,0,0
 84-94,0,0,18.89,3.46,0,0,0.96,0,1.47,0.57,0,0,0,3.52,0,0,0.6,0,4.25,0,0,0
 96-106,0,0.72,38.08,0,0.84,1.02,2.61,0,3.63,5.58,1.22,0,0,11.93,0,0,0,0,0.89,0,0,1.61
108-118,0,0.48,15.6,1.42,0,0,11.19,0,0.91,0,4.7,0.94,0,13.59,0,0,0,0,0.58,0,0,0.78
120,0,3.9,45.85,0,0,0,0,3.43,0,0,6.06,0,0,26.79,0,2.64,3.99,0,9.01,0,0,0
