stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,ionocyte,liver,mesenchyme,mucous,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4.95,0,0,0,1.11,0,0,0,0,0.93,0,0
 24-34,0,0,0,0,0,0,0,12.3,1.47,0,0,0.97,0,0,0,0,0,0,3.77
 36-46,0,0.85,0,0,0,0,0,3.53,1.97,0.66,1.37,6.82,0,0,0,0,0,0,2.51
 48-58,0,0,0,0,0,0,0.4,1.74,8.34,0.43,0,9.54,0,0,0,0,0,0,4.42
 60-70,0,0,0,0,1.76,0,7.36,0,9.2,2.25,0,16.83,0,0,0,0,0,0,6.19
 72-82,0,0.62,0,0,8.98,4.44,22.68,0,1.31,0.97,0,16.48,0,0,0,0,0,1.58,0
 84-94,0,1.23,0,0.92,11.81,0,38.93,0.61,3.99,3.2,2.3,9.07,2.17,0,0,0,0,2.22,3.09
 96-106,0,2.93,0.92,8.04,8.96,5.21,62.11,1.06,16.44,3.98,0,20.44,0.89,2.06,1.3,1.12,0,0.63,0
108-118,0,0,1.57,0.43,0,1.22,100.77,1.68,1.88,0.62,0,13.94,0,0,0,0.84,0,0,1.08
120,0,0,0,0,0,0,135.7,4.71,6.4,3.28,0,43.97,0,0,0,0,0,1.14,0
