stage,axial,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
 14-21,0,0,6.48,0,1.1,0,0,0,0,0,0,0,0,2.85,0,0,0,1.13,0,0,0,0,0,0,0.82,0,0,0,0
 24-34,0,0,66.83,0,0,2.13,3,0,0,0,0,0,0,14.49,0.69,0,6.99,9.65,0.71,0,0,8.02,0.63,0,8.19,0,0,0,0
 36-46,0,0,87.91,0,0,8.56,0.78,0,0,3.21,0,0,0,27.41,0,0,3.23,5.72,0,0,1.66,0,0,2.47,2.51,0,0,0,0
 48-58,0,0,76.34,0,9.52,0,2.41,0,0,0,0.44,1.9,0,16.12,0.82,0,8.94,12.56,0,0,0,1.65,0,0,4.39,0,0,0,0
 60-70,0,0,143.09,0,2.12,5.43,4.42,0,1.77,0,0,8.93,9.64,45.32,2.95,8.24,2.3,7.2,0,0,0,10.02,4.44,0,1.23,0,0,0,0
 72-82,0,0.53,66.4,0,5.03,4.17,34.39,1.32,0,0,0,0,0,108.66,2.18,6.79,3.9,12.84,0,0.56,0,6.11,0,0,2.45,0,0,5.24,0
 84-94,0,0,105,0,1.2,7.98,31.48,3.19,3.69,0,0.67,3.26,0,47.13,1.76,0,3.02,4.08,0,4.36,3.58,10.49,1.04,0,0,0,1.08,3.53,0
 96-106,0,0,61.49,0,2.6,3.75,12.64,0,0,0,0,0,2.65,37.11,0,1.77,3.06,8.02,0.79,0.81,1.19,7.04,0,0,0,4.84,5.3,0.85,2.47
108-118,0,2.52,122.64,0.57,3.73,5.49,21.24,0,0,0,0,2.02,0,72.74,1.06,6.25,8.98,14.79,0,0.7,1.11,1.4,0,0,0,0,3.54,4.11,0
120,1.12,0,187.51,0,0,10.31,13.06,10.14,0,0,0,0,0,104.81,1.16,0,2.55,27.02,3.54,0,5.9,2.06,0,0,0,0,3.79,13.23,0
