stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,pericytes,presomitic.mesoderm,slow.muscle,somites,vasculature,xanthophores
  3-4,47.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3.46,0,3.06,0,0,0.85,5.08,6.42,0,0
 24-34,0,0,0,0,2.02,0,0,2.54,0,26.26,2.79,0,0,6.71,17.27,0.84,0
 36-46,0,0,0,0,0,0,0,1.88,0,0,2.35,0,0,1.84,0,0,0
 48-58,0,0,0,1.01,0.56,0.71,0,0.94,0,0.73,1.73,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.05,0,0,4.5,0,0,4.85,0,0,0
 72-82,0,0,0,0,3.29,0,0,6.14,0,5.61,0,0,0,2.66,0,0,0
 84-94,0,0,0,0,9.82,0,4.62,1.18,0,0.59,0.92,0,0,0.62,0,0,0
 96-106,0,0,0,5.78,4.71,0,1.3,3.03,0,2.64,4.77,0,0,0,0,0,0
108-118,0,0.42,2.63,0,3.5,0,2.85,10.36,0,10.4,1.14,0.76,0,0.99,0,0,0
120,0,0,0,0,15.07,0,0,16.48,1.45,2.59,0,0,0,0,0,0,4.96
