stage,endocrine.pancreas,epidermis,eye,glial,gut,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,9.57,0,0,0,0,4.46,0,0,17.93,0,0
 10-12,0,0,8.4,0,0,0,0,3.47,0,0,5.65,0,0
 14-21,0,0,0,0,0,0,0,1.81,0,0,0,0,2.18
 24-34,0,0.61,0,0,0,0,0,7.19,0,0,0,0,2.11
 36-46,0,0,0,0,0,0,0,40.64,2.36,0,0,0,9.37
 48-58,0,0,0.37,0,0,0,0,76.35,3.12,0,0,0,6.87
 60-70,0,0,7.9,0,0.63,0.6,0,52.24,12.55,0,0,0,11.56
 72-82,0,0,35.5,1.98,0,0,0,137.53,2.73,0.91,0,0,21.36
 84-94,1.15,0.66,14.03,2.78,0,0,1.29,39.35,10.38,0,0,0,0
 96-106,1.38,0.64,9.63,0,0,1.05,0,62.61,3.13,0,0,3.66,0
108-118,0.76,2.11,0,2.86,0,0.63,0,29.99,3.61,0,0,2.18,3.32
120,0,0,0,2.21,0,0,0,29.4,20.39,0,0,16.6,0
