stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.13,0.95,1.13,0,0,0.83,0,0,0,0,0,0,1.91,13.03,0,0,1,0,0,4.69,0,10.85,0,0,0
 24-34,0,1.89,0,2.51,0.68,0,5.39,0,0,0,0,6.05,0,0,44.93,0,0,0,0,2.55,0,0,9.79,0,0,0
 36-46,0,0.87,0,4.75,0,0,1.06,0,0.57,0,0,1.4,0,0,44.85,0,0,0,0,0,0,0,12.82,5.34,0,0
 48-58,0,0,0.46,14.86,2.05,0,0,0,0,0,0,4.5,0,0.38,23.57,0,0,0,0,0,0,0,6.7,1.23,0,1.68
 60-70,0,0,0,22.69,0,0,1.32,0,0.61,0,1.72,4.51,0,0.58,56.13,0.96,0,0,0.84,0,0,0,2.24,0,0,0
 72-82,0,0,0,20.42,0,4.21,3.6,0,0.95,0,0,5.21,0,0.57,75.04,0,0.56,0,0,2.88,0,0,7.22,2.29,0,0
 84-94,0,1.28,0,22.96,0,0,0.66,0,0,0,0,5.14,0,0,25.51,0.8,0,0,0,2.59,0,0,7.3,0,0.67,0
 96-106,0,0,0,10.15,0,0,4.81,0,0,0,0,0,4.66,0,24.8,0,0,0,0,0,0,0,0,5.55,0,1.26
108-118,0,0.56,0,2.29,0,0,3.79,0.45,0.8,0.78,0.97,4.42,4.01,0,10.28,0,1.97,0,0,1.3,0,0.42,0,0.55,0,0
120,0,2.57,0,3.19,0,0,0,0,0,0,0,6.36,0,0,14.17,0,11.89,0,0,0,0,0,21.35,3.09,0,0
