stage,endocrine.pancreas,eye,glial,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0
 10-12,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.09,0,0,0,0,1.17,1.08
 24-34,0,0.78,0,0,0,0,0,0.79,0,9.48,0.67,0,0,5.19
 36-46,0,0.6,0,0,0,0,2.07,0,0,12.25,0,0,0,2.37
 48-58,0,2.59,1.57,0,0.56,0.49,0,1.22,0,14.27,0,0,0,3.69
 60-70,0,13.35,2.57,0,0,0,0,0,0,13.03,0,0,0,0.88
 72-82,0,19.55,5.14,0,0,0,0,1.17,0,23.92,0,0,0,0
 84-94,1.15,13.82,0.68,0,0,0,0,1.17,0,13.66,0,0,0,0
 96-106,0.95,14.25,3.85,0,0,0,0,2.79,0,16.9,0,0,0,0
108-118,0,0.69,5.04,0,0,0,0,0.83,0.73,3.57,0,0,0,0
120,0,0,0,0,0,0,0,0,0,7.41,0,0,0,6.72
