stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,102.79,3550.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.67,0,0,0,0,0,0,0,0,0,0
  5-6,141.37,3101.33,8.02,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,48.06,0,0,0,9.65,33.01,0,0,0,0,0,0,0,0,0,0
  7-9,19.75,83.26,96.69,0,0,0,256.91,0,0,0,0,0,71.27,0,0,0,0,0,0,0,0,0,0,0,2063.21,40.48,0,0,688.89,7.16,9.39,0,0,0,0,0,0,0,0,0
 10-12,0,37.75,84.15,0,17.84,0,150.41,0,0,0,0,0,22.81,0,0,0,0,0,0,0,0,0,0,0,1275.6,52.05,0,0,662,3.1,5.33,10.54,48.27,0,3.87,0,0,0,0,0
 14-21,0,0,1.97,25.99,1.95,0,17.39,0,0,0,2.6,2.95,0.98,0.92,0,1.15,0,0,0,0,5.69,0,0,10.57,181.42,4.82,1.37,2.68,3.94,16.16,0,48.45,0,0,44.6,48.67,0,3.49,0,0
 24-34,0,0,1.62,6.8,0,0,14.26,8.76,0,0,1.67,0,0,0,1.02,0.59,0,0,1.04,0,18.04,0,1.21,7.97,222.89,0.65,3.06,4.32,0,17.17,0,0,0,0,3.76,50.54,0,0.78,0,0
 36-46,0,0,0,0,0,0,18.71,0.67,0,1.23,3.42,0,0,0,0,0,3.61,1.42,0,3.65,19.02,0,0,4.29,203.25,0.71,4.44,0.91,0,21.15,0,0,0,0,0,35.82,0,0,0,1.54
 48-58,0,0,0,0.55,0,0,32.17,0,0,0.81,12.62,1.77,0,0.78,0,0,0,0.37,1.37,0,16.91,0,0,3.35,212.05,0.95,1.05,0,0,1.88,0,0,0,0,0,46.92,0,0.92,0,0
 60-70,0,0,0,2.53,0,0,78.18,0,0,0,12.26,0.85,0,0,0,0,1.28,0,0,0,15.45,0,0.59,2.39,204.4,0,0.73,0,0,0.6,0,0,0,0.64,0,32,0,0,0,0
 72-82,0,0,0,0.52,0,0,54.16,0,0,2.1,11.32,0,0,1.57,0.68,0.53,0,0,0,0,28.42,0,0.55,0,121.77,0,0.67,2.53,0,2.82,0,0,0,0,0,19.08,0,0,0,0
 84-94,0,0,0,0.59,0.66,0,55.42,0,0,3.02,2.37,2.23,0,0,3.87,0,0,0,0,0,20.54,0.57,0,2.09,161.24,0,0,0,0,8.48,0,0,1.56,0,0,20.06,0,0.83,0.91,0
 96-106,0,0,0,4.28,3.93,0,46.06,0,0,0,10.13,1.77,0,0,0.7,0.78,0,2.38,0,0,29.78,0,1.34,4.03,130.84,0,0,0,0,9.48,0,0,0,0,0,3.32,0,3.76,0,0
108-118,0,0,0,13.5,4.22,1.6,52.33,0,0.42,1.36,14.81,0,0,0,0.54,11.97,0,0,0,0,43.47,0,0,2.38,107.37,0,0,1.31,0,13.52,0,0,0.55,0,0,0,0.43,2.64,0,0
120,0,0,0,15.09,0,1.8,136.65,0,13.91,3.26,50.31,0,0,0,0,0,0,5.54,0,0,58.69,0,0,1.24,253.18,0,1.11,3.63,0,24.69,0,0,0,0,0,0,1.37,0,0,0
