stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,231.54,5755.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.7,0,0,0,0,0
  5-6,257.7,4414.98,0,0,0,0,0,0,0,12.54,0,0,0,0,0,127.19,0,0,0,28.42,0,0,0,0,0
  7-9,3.82,0,10.72,0,27.96,0,0,0,0,0,0,0,0,0,0,198.41,0,0,120.56,0,35.9,0,0,0,0
 10-12,0,0,11.74,0,0,0,0,0,0,0,0,0,0,0,0,137.35,0,0,53.37,0,42.59,0,0,0,0
 14-21,0,0,0.88,3.9,1.06,0,0,0,0,0,0.9,0,0.96,0,0,12.76,0.99,0,0,3.61,3.66,2.87,4.52,3.02,0
 24-34,0,0,0,1.39,8.76,0,0,0,0,0,5.51,0.72,1.07,7.3,0,6.38,0,0.68,0,3.93,0,0,0,6.44,0
 36-46,0,0,0,3.36,0,1.17,0,0,0,0,1.01,0,2.05,0,0,9.43,0,0,0,0.92,0,0,0,0,0.65
 48-58,0,0,0,0,1.18,0,0.82,2.09,0,0,0,0,4.49,0,1.68,3.21,0,0,0,0.46,0.98,0,0,1.61,0
 60-70,0,0,0,0,2.27,0,1.86,1.78,0,0,0,0,2.9,0,0,7.12,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,12.9,0,0,0,0.79,0.56,0,0,0,0
 84-94,0,0,0,0.77,0,0,0,2.4,0,0,0,0,4.65,0,0,0.64,0,0,0,0.59,0,0,0,0,0
 96-106,0,0,0,2.74,4.18,0,0,0,1.16,0,0,0,1.24,0,0,0.89,0,1.31,0,4.6,3.56,0,0,0,0
108-118,0,0,0,0,0,0,0,3.01,0,0,0,0,6.07,0,0,4.33,0,0,0,2.83,1.42,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0
