stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  5-6,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.97,0,0,0,18.25,0,0,3.57,0,0,0,0
 10-12,0,0,4.3,0,0,0,34.64,3.27,0,11.28,0,0,0,0
 14-21,0,0.95,0,0,0,0,6.76,0,0,0,0,0,1.65,1.48
 24-34,0,0,0,0,0,0,7.62,0,0,0,8.07,0.64,0,2.38
 36-46,0,0,0,0,0,0.72,6,0,0,0,0,0,0,0
 48-58,0,0,0,5.17,1.21,0,1.95,0,0,0,0,0,0,1.28
 60-70,0,0,0,2.28,1.19,0,11.85,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.53,0,3.39,0,1.11,0,0,0,0,0
 96-106,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0
108-118,0,0,0,0,1.24,0,0,0,0.42,0,0,0,0,0
