stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,28.68,3.74,1.8,0,2.74,0,0.88,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0.9,0,0,1.46,0,0,0.81,10.05,0,1.08,0,0
 24-34,0,13,0.78,0,0,13.7,0.79,0.61,0,0,0,0,0,0,0,9.09,0,0,0.73,18.01,0.62,0,0,0,0,0,0,0,1.4,10.43,0,15.41,0,0.61
 36-46,0,0,0,3.37,0,4.66,4.52,0,0,0,0.81,0,0,1.69,0.87,14.55,0,0,4.75,12.22,0,0.59,0,0,0,0,0,0,0,3.64,0,20.25,0,0
 48-58,0,0.76,0,2.23,0.45,6.37,0.88,0.5,0,0.58,0,0,0,0.44,2.4,17.13,0,0,3.03,32.06,0,1.25,1.57,0,0.7,0,0,0,0,1.94,0,6.84,0,1.22
 60-70,0,4.65,0,5.15,0,0.59,3.09,2.12,0,0,0,0,7.65,0,0,29.7,0,0,1.32,5.8,0,1.42,0,1.22,0,0,0,0,0,3.8,0,11.76,0,0
 72-82,0,3.58,0.5,8.75,0,0.53,12.1,9.08,0,2.11,0,0,0,0.67,0,37.55,0.71,3.63,0,32.23,0,0,0,0,0,0,0.61,0.53,0,0,0.5,17.47,0,5.03
 84-94,0,7.22,0,2.61,0,6.97,1.53,16.75,0,0,2,0,0.7,0,2.02,20.77,0,0,2.34,14.46,0,0,0.83,3.97,0,0,0,0,0,0,0,17.87,0,2.78
 96-106,0,12.37,2.01,3.38,0,1.96,1.8,0,0,0,0,0,2.36,0.92,0,22.29,0,0,0,14.39,0,0,2.44,1.36,0,0,0.6,0,0,0.84,0,10.14,2.55,6.35
108-118,0,3.99,0,13.76,1.68,1.29,4.34,1.11,0.45,0,0,1.33,4.97,0,0,34.45,0,0,1.52,9.57,0,0,0.42,3.79,0,0,0,0,0,0,1.19,1.84,0,0
120,0,4.16,0,1.31,1.54,2.6,0,7.72,0,0,0,0,0,0,0,49.37,0,0,0,16.18,0,12.05,0,0,0,0,0,0,0,0,0,7.72,0,0
