stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros
  3-4,11.28,24.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.43,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,41.05,0,0,0,0
 14-21,0,0,1.24,0,1.21,0,0.93,0,1.58,0,0,0,0,3.47,0,0,1.17,0
 24-34,0,0,0.6,1.31,0,0,0,0,1.59,0,0,0,0,1.16,0,0,0,2.89
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0.77,0,0,0,7.63
 48-58,0,0,0.44,0,0,0,0,0,1.96,0,0.58,0,0,3.08,0,0,0,1.85
 60-70,0,0,0,0,0,0,0.86,0,9.39,0.59,0,0,0,11.33,0,0,0,0.73
 72-82,0,0,3.39,0,0,0,0,7.68,3.72,0,2.52,4.08,0,2.65,0,0,0,0.63
 84-94,0,0,1.71,0,0,0,0,0,6.16,0,0.77,1.45,0,0.84,0,2.86,0,1.33
 96-106,0,0,0.83,0,6.61,0,0,1.16,6.05,0,2.64,0,0,18.65,0,0,0,3.29
108-118,0,0,1.94,0,0,1.82,3.99,0,3.43,0,8.05,0,6.1,0.81,0,0,0,1.15
120,0,0,0,0,0,0,1.7,0,11.68,0,5.24,0,0,4.69,0,0,0,5.13
