stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,gut,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,61.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.85,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,4.14,0,0,0
 10-12,0,0,0,0,0,6.25,0,0,0,0,0,0,0,40.91,0,18.35,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0
 24-34,0,0,0,0.9,0,0,0,0,0,0.65,0.67,0,0.72,1.69,0,0,0,1.32,0
 36-46,0,0,0,0,0,1.13,0,0,0,0,0,0,0,4.34,0.58,0,0,0,0
 48-58,0,0,0,0,0.5,1.89,0,0,0,0,1.4,0,0,2.76,0,0,0,1.67,0
 60-70,0,0,0,0,3.07,5.33,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,11.71,7.83,0,0,1.6,0,2.98,0,0,2.78,0,0,0,0,1.1
 84-94,0,0,0.84,0.62,27.91,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,8.57,2.29,0.85,0,0,0,0,0,0,7.13,0,0,0,0,0
108-118,0,0,0,0,23.17,0,0.52,0.66,0.48,0,0.98,5.93,1.64,0,0,0,0,0,0
120,0,0,0,0,2.76,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0
