stage,blastomeres,epidermis,eye,mesenchyme,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,36.77,0,0,0,0,0,0,0,0
  5-6,10.15,0,0,0,24.17,0,0,0,0
  7-9,0,0,0,0,23.27,0,0,0,0
 10-12,0,0,5.49,0,69.6,0,8.79,0,0
 14-21,0,0.97,0,0,2.86,0,0,0,0
 24-34,0,0,0,0,3.08,0,0,0,0
 36-46,0,0,0.87,1.23,1.03,0,0,0,0
 48-58,0,0,1.26,0,3,0,0,1.01,5.62
 72-82,0,0,3.59,0.61,2.43,1.1,0,0,0
 84-94,0,0,0,0,4.11,0,0,0,0
 96-106,0,0,4.85,0,2.96,0,0,0,0
108-118,0,0,0,0,1.23,0,0,0,0
