stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0,0,1.86,0,0,0,0,0,0,0,0,4.8,0,0
 36-46,0,26.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0,0,0,1.91,0,0,0,0,0,0.67,0,0,2.17,0,0.64
 48-58,0,64.33,0,0,0,0,6.14,0,1.51,0,0,0,0,0,0,8.14,0.43,0,0,13.26,0,0,0,0,0,0,0,0,2.47,0,0
 60-70,0,176.33,0,0,7.74,0,5.1,0,0,0,0,0,0,0,1.46,1.37,1.42,9.63,0,12.03,0,0,0,3.19,1.28,0,0,0,3.19,0,5.5
 72-82,0,265.5,0,0,5.13,0,5.87,1.15,2.5,0,0,0,0,0.93,0,0,9.8,1.23,0,11.55,1.43,0.56,0,0.69,0.74,0,1,0,10.44,0,0
 84-94,0,557.41,0.72,0,0,0,18.13,0,0,3.46,0,0,2.23,0,0,0,0.92,4.85,0,4.75,0,4.06,0,5.43,0,0,0,0,14.23,0,0
 96-106,1.03,884.91,0,0,4.83,0.77,44.2,1.26,5.92,10.52,1.22,2.18,3.86,0,0,5.5,7.16,13.97,1.77,42.27,0,2.83,2.88,15.11,1.3,0,2.35,3.27,35.54,0.65,0
108-118,0,840.36,4.77,0,17.49,0,61.86,0,6.18,12.49,0,1.44,2.73,6.31,0,0,13.33,8.66,0,40,0,3.75,2.26,8.1,0.59,3.18,0.48,0,48.4,2.13,0
120,0,530.95,0,1.03,8.87,0,42.19,0,9.09,4.86,0,0,7.06,4.78,4.16,3.23,0,8.03,0,18.02,0,0,2.63,1.69,1.83,0,2.11,0,0,0,0
