stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,14.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,3.95,0,0,104.9,0,0,0,0,29.28,0,0,0,0,0
 14-21,0,4.44,0,0,0,0,0,1.35,0,0,0,0,0,2.87,3.89,0,0,0,0,0,0,1.25,37.02,57.53,0,0,0,0,0
 24-34,0,0,0,1.15,9.54,0,0,0,0,0,0,0,0,20.81,22.87,0.64,0,0,0,0,0,0,19.93,30.99,1.72,0,2.56,0,0.63
 36-46,0,0,0,4.49,25.92,0,0,0,0,0,0,2.39,0,8.73,3.91,0,0,0,0,0,0,0,15.04,8.92,0.87,6.33,0,0,0
 48-58,0,3.98,0,7.76,10.01,0,1.87,8.35,0.92,0,0,4.21,0,0,18.34,0,0,0,4.77,0,0,0,7.69,0,4.73,1.85,0.44,0,0
 60-70,0,0.69,0,7.21,13.14,0,0,9.91,0,0,0,10.73,0,12.8,17.53,0,0,0,0,2.07,0,0,1.39,0,4.42,0.8,0,3.62,0
 72-82,0,1.14,0,2.35,11.73,0,0,0,0,0,0,14.01,0,1.18,8.01,0,1.25,0,0,1.31,0,0,0,0,0,2.94,0,6.44,5.57
 84-94,0,0.58,1.63,28.85,15.93,0,1.82,0,0,0,0,31.77,5.04,0,11.02,0,0,0,0,0,1.41,0,1.85,0,0,3.07,0,10.59,0
 96-106,0,0,4.93,13.95,3.6,0,0,1.72,0,3.3,0,37.08,0,0,15.61,0,0,0.66,0,0.79,0,0,0.64,0,0,3.3,0,8.3,0
108-118,0,0.49,1.79,1.79,12.05,0.91,0,3.6,0,0,0,20.58,4.97,2.03,15.34,0,0,0,0,0,0,0,0,0,0,6.72,0,6.21,0
120,0,0,0,8.12,7.67,0,0,0,0,0,9.71,60.02,0,3.15,0,0,0,0,0,0,0,0,1.6,0,0,0,0,21.43,0
