stage,epidermis,erythrocytes,eye,fast_muscle,glial,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,0,0.89,0.82,0,0,0,0,0,0,0,1.3,1.66,0,0,0.9,0,2.89,0,0
 24-34,3.38,0,0.98,0,1.63,0,1.8,0,2.68,0,0,4.07,0,4.88,0,0,4.04,1.29,0
 36-46,0,0,0.63,0,0,0,0,0,1.72,0,0,14.45,0,0,0,2.21,1.61,0,0
 48-58,1.47,0,1.3,0,0,0,0,0,1.23,0,0,11.2,1.18,0,0,0,1.05,0,0
 60-70,0.63,0,1.05,0,2.25,0,1.16,0,1.14,2.57,4.22,1.04,0.99,0,0,0,2.47,0,0
 72-82,0,0,4.01,0,0,0,0,0,2.87,0,0,10.34,0,0,0,0,0,0,4.43
 84-94,0,0,4.67,0,0,0,1.23,0,0.7,0,0,3.58,0,0,0,0,0,0,0
 96-106,0,0,0,1.45,2.26,0,0,0.68,0.83,0,0,0,1.81,0,0,0,0,0,0
108-118,0,0,4.86,0,1.59,0.49,0,0,1.27,0,0,0,2.89,0,0,0,0,0,0
120,0,1.56,0,0,0,0,0,0,0,0,0,5.97,0,6.39,0,0,0,0,0
