stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.86,337.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.14,0,0,0,0,0,0,0,0,0
  5-6,0,196.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.97,0,0,0,0,0,0,0,0,0,0,0,22.01,5.38,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.81,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,43.46,0,0,234.97,0,0,0,0,0,0,0,0,1.23,0,0,0,0,1.34,0,0,0,951.89,0,1.9,0,0,0,0,0.82,0,0,2.87,0,0,0,0,0
 24-34,0,0,1.12,2.76,0,0,1238.86,0,0,0,24.53,0,0,0.82,0,0.74,0,0,0,0,8.53,0,0,6.32,2574.09,0,0.72,1.68,0,0,0,0,0,1.15,31.94,0,0,0,0,0
 36-46,0,0,0,10.21,0,0,4654.28,1.93,0,0,93.85,0,0,1.12,0.65,0,0,0,0,0,6.54,0,0,1.27,2602.67,0,7.56,0.63,0,0,1.62,8.18,0,0,31.3,0,0,12,0,0
 48-58,0,0,0,16.17,0,0,7149.65,0.81,0.44,0.43,177.96,0,0,0,1.34,0.97,3.8,1.03,8.71,4.83,37.86,0,0,11.19,2059.54,1.13,1.71,1.81,0,0,7.31,0,0,0,80.4,0,0,4.16,0,13.52
 60-70,0,0,0,14.39,0.57,0,12322.29,0,6.87,0.76,298.16,0,0,0,3.29,0,0,0,0,5.07,27.93,0,12.34,0,1303.58,0,0,16.64,0,0,1.73,0,2.69,0,24.07,0,0,0,0,2.08
 72-82,0,0,0,30.05,6.96,0,10155.96,1.5,7.96,7.43,513.97,2.58,0,0,2.35,1.73,3.21,1.56,0,0,70.98,0,1.34,3.83,1190.76,0.5,3.73,2.49,0,2.6,1.62,0,0,0,28.22,0,0,4.86,2.84,12.34
 84-94,0,0,0,32.7,5.73,0,7040.23,1.17,1.41,7.92,358.74,0,0,0,2.93,0.69,2.97,5.12,2.92,0,55.6,0,4.37,12.65,839.8,0,0,0.67,0,0,14.34,0,0.73,0,37.66,2.5,5.6,3.45,0.89,0
 96-106,0,0,0,14.27,20.69,0,5040.97,0.69,1.16,3.76,432.81,0.67,0,5.16,2.26,0,0,4.21,1.63,0,44.85,7.39,1.88,7.56,724.7,0.79,6.96,5.52,0,1.11,17.53,0,0,0,8.63,0,1.15,0.68,0.59,0
108-118,0,0,0,17.39,13.39,0.78,4695.25,0,1.21,0,453.78,2.52,0,0,0,2.42,4.69,0,6.19,5.63,31.97,0,0,0.66,1061.78,0,0,0,0,1.83,11.44,0,0,0,0,0.89,0,2.15,0.49,0
120,0,0,0,14.26,6.45,0,2954.66,0,0,2.81,461.43,1.09,0,0,1.09,0,12.29,0,0,0,24.68,0,0,2.35,1014.95,0,3,9.91,0,0,0,0,0,0,8.42,0,0,0,0,0
