stage,blastomeres,epidermis,fin_epithelia,glial,gut,hatching_gland,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,taste
  3-4,48.85,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0
 10-12,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0
 14-21,0,9.14,0,0,0,0,0,0,0,0,1.97,0,0,0,0
 24-34,0,7.98,0,0,0,0,0.63,0,0,0,2.73,0,0.69,0,0
 36-46,0,0,0.89,0,0,0,0.57,0.69,0,0,1.01,0.96,0,0,0
 48-58,0,0,0,0,0,0,0.85,0.51,1.96,0,0,0,0,0,0
 60-70,0,1.04,0,0,0.85,0,1.57,0,0,1.06,1.45,0,0,0,0
 72-82,0,0,0,0,1.66,0,1.68,0.85,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0.6
 96-106,0,0,0,2.34,1.93,0,1.39,0,0,0,3.57,0.85,0,0,0
108-118,0,0,0,0,0.96,0,1.34,0,0,0,6.2,0.89,0,0,0.84
120,0,2.57,0,0,0,0,0,0,0,0,0,2.2,0,0,1.84
