stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.76,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,64.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.86,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,56.77,1.49,0,17.67,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,167.35,0,0.84,0.99,1.89,0,0,0,0,0,460.72,0,0,0,0
 24-34,0,0,25.7,0,0,66.91,0,0,0,4.66,0,0,0,0.89,0,0,0,2.68,0,0,309.42,0,6.99,3.12,0,0,1.54,0,0,1.11,1103.32,0,0,0,0
 36-46,0,0,0.71,0,0,363.09,0.68,0,0,14.78,0,0,1.92,0,0,0,0,3.6,0,5.09,587.34,0,1.37,0,0,0,3.1,0,0,0,1721.6,0,0,0,2.19
 48-58,0,0.4,8.06,0,0,1666.99,0,0,0,49.07,0,0,0.48,0,0,2.93,0,20.4,0.75,2.62,888.22,0,0.62,1.82,0,0,7.04,0,1.55,0,1881.24,0,2.09,0,0.93
 60-70,0,0,45.57,0.62,0,5415.66,0,6.47,0,53.74,1.75,0,0,0,0,1.9,0,22.62,2.96,2.11,1365.59,0,3.01,1.69,0,1.9,0,0,0,0,1685.72,0,0,1.46,1.79
 72-82,2.67,0,4.53,0.59,0,4847.54,0,0.95,4.56,46.39,2.86,2.43,0,1.47,0,0.49,0.97,13.72,1.44,6.06,963.32,0,0,3.04,0,0,7.81,0,0.58,0,1094.46,0,5,1.04,0
 84-94,1.16,0,17.62,4.52,0,3278.61,0,0.91,0,73.53,0,0,0,0,19.94,0.65,0,18.84,0.57,1.01,575.95,0,1.78,1.21,0,0,4.37,0,1.04,0,578.23,1.25,4.78,0.77,11.05
 96-106,0,0,10.43,4.81,0.94,2668.48,0,0,0,34.19,2.09,0.96,0.57,0.64,0,2.16,0,28.22,2.34,1.66,336.08,0,0,2.67,0,0.97,6.34,0,0,0,303.75,0,2.39,0,0
108-118,0,0,0.67,0.71,0,2128.34,0,1.35,0,5.33,0,0,0.88,0,1.31,1.38,3.72,27.49,1.5,0,386.32,0,0,1.46,0,0,4.26,1.48,0,0,127.72,0,2.78,0,0
120,0,0,2.61,0,0,1493.83,0,0,0,21.48,1.79,0,0,0,0,3.42,0,48.85,0,0,319.87,2.28,9.62,0,0,0,0,0,0,0,194.58,0,0,0,0
