stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.92,70.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,22.76,0,1.51,0,0,0,0.85,0,0,0.9,25.31,0,0,0,0,0
 24-34,0,0,0.67,2.64,0,0,4.58,0,0,0,2.3,0,0.76,0,1.23,0,1.82,0,0,1.48,0,0,2.15,183.38,0,11.26,57.95,0,0.7,0,0,0,0,71.13,0,0,1.78,0,0
 36-46,0,0,0,0,0,0,17.14,0,0,0,7.28,0,0,0,0,0,0,0,0,5.83,0,0,0,550.22,0,19.74,58.21,0,0,0,0,0,0,124.42,0,0,1.1,0,0
 48-58,0,0,0.42,0,0,0,80.76,0,3.49,0,9.42,0,0,0.39,0,0,8.16,0,1.53,11.55,0.7,0,0.43,881.2,0,5.35,89.83,0,0.58,0,0,0,0,165.91,0,0,0.53,0,7.32
 60-70,0,0,0,0.57,0,0,466.08,0,0,0,26.13,0,1.47,3.53,0,0,14.32,0,0,10.29,0,0,0,1383.06,0,9.65,189.32,0,1.16,0,0,0,0,210.58,0,1,11.04,0,0
 72-82,0,0,0.5,3.6,13.82,0,776.53,2.46,0,8.99,15.09,0.67,0,0.69,0,0.57,33.79,0,0,24.64,0,0,4.76,1521.67,0,21.48,252.77,1.4,0,0,0,1.5,0,128.94,0,0,2.46,0,3.44
 84-94,0,0,0,6.61,0,10.69,683.59,0.56,0,1.56,22.99,1.12,0,0.91,0.86,0,43.35,0,0.91,18.13,0,4.57,1.8,1073.12,0,17.67,368,0,8.08,0,1.26,0,0,82.02,0,0,4.36,0.77,0
 96-106,0,0,0,6.76,2.41,0,741.98,0,0,0.8,19.32,0,0,2.16,0,1.05,57.38,5.18,0,22.53,0,2.43,0.79,932.78,0.79,17.98,431.86,0,5.86,0,0,0,0,66.98,0.82,0,2.75,0,10.36
108-118,0,0,1.15,4.5,2.57,0,786.01,0,0,0,36.16,0,0,0.75,0.91,0,43.57,1.6,0,34.69,0,0,0,1156.33,0,16.32,382.42,2.78,5.09,0,0,0,0,55.14,0,0,1.53,1.93,2.14
120,0,0,4.34,24.11,0,0,618.02,0,4.25,0,41.98,4.36,0,2.29,0,0,42.9,18.25,0,15.56,0,9.54,6.75,2173.82,0,33.96,440.8,0,0,0,0,0,0,103.96,0,0,14.21,0,0
