stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,1,0,0,1.52,0.91,0.84,0,1.32,0,0,0
 24-34,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,21.39,0.67,0,0,0,0,0,52.01,0.82,2.17,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,1.07,0,0,0,0,0,1.18,0,0,0,15.37,1.22,0.78,0,0,0,0,107.28,0,2.24,0,0,0
 48-58,0,0,0,0,0,13.54,2.16,0,0.85,0,0,0,0,0,5.57,0,0,1.37,15.51,0,2.46,0,0,0,0,105.92,0,2.27,0,0,0.72
 60-70,0,0,0,0,0,48.76,15.88,0,0,0,0,0,0,0,8.93,0,0,0,18.86,0,1.44,0,2.43,0,0,82.74,0,1.5,0,0,0
 72-82,0,0,0,0,0,161.24,21.07,0,2.8,0,0,0.79,0,2.32,16.72,0,1.52,0.68,56.62,0,7.6,2.07,0,4.02,0,50.85,0,2.97,0,0,2.05
 84-94,0,0,0,2.14,0.55,101.51,49.35,0,11.22,0.84,0,0,0,0,5.39,0,0,1.56,43.9,0,6.79,1.09,0,4.06,0,136.75,0,0.63,0,0,2.22
 96-106,0,0.74,0,0,4.07,58.06,54.26,1.11,14.17,0,2.03,0.58,1.98,0,14.36,1.63,0,3.25,38.6,0,2.07,0,0,8.38,0,182.38,0,0,0,0,0
108-118,0,0,0.45,1.89,6.27,71.25,79.05,0,3,0,0,0,0.44,0,18.66,0,0,0.52,46.71,0,3.04,0,0,4.92,0,182.73,0,0,1.2,1.11,1.9
120,0,0,0,1.11,0,6.82,61.42,0,18.81,0,0,0,0,0,17.63,0,0,0,67.92,0,0,1.51,0,0,1.12,60.09,0,0,0,0,0
