stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,50.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.43,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2,0,0,0,21.71,3.89,0,0,0,0,0,0
 10-12,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,3.87,102.53,0,0,0,22.12,16.18,3.57,0,0,0,0,0
 14-21,0,0,1.92,0,0.96,0,0,0,0,0,1.62,0,0,0,0,1.69,0,0,0,0,61.75,0,1.36,3.38,2.56,0,0
 24-34,0,0,0.65,0.95,3.25,0,0,0,0,0,0.6,1.33,0,0,8.33,15.69,0,0,0,0,88.4,0,0,0.69,14.93,5.08,0
 36-46,0,0,0,0,3.55,0,0,3.56,0,0.89,0.77,1.65,1.5,0,0,9.52,0,0,0,0,98.54,0,0,0,3.74,1.37,0
 48-58,0,0,0,0,3.06,0,0.37,1.46,0,0.51,0,1.71,0,0,0,3.76,0.4,0,0.65,0,34.86,0,0,0,1.48,0.87,0
 60-70,0,0,1.33,0,6.56,4.31,0,3.75,0,0,0,8.26,0,0,1.58,11.22,0,0,0.81,0,30.57,0,0,0,0,1.57,0
 72-82,0,0,0,0,22.53,0,0.64,2.54,0,0,0.96,5.92,0,1.12,0.58,6.18,0,1.04,0,0,14.92,0,0,0,0,4.1,5.3
 84-94,0,0,0,0,5.87,0.86,0,0.6,1.67,0,0,6.78,0,0,0,16.01,0,0,0,0,59.99,0,0,0,0,0,0
 96-106,0,0,1.74,0,51.45,0.76,1.63,0,0,0,0.63,2.6,0,0,0,25.47,0,0,1.2,0,39.42,0,0,0,0,0,0
108-118,0,0,1.09,0,32.43,0,0,9.32,0.54,0,5.9,2.6,0,1.23,0.59,21.03,0,1.17,0.76,0,36.61,0,0,0,1.99,2.06,0
120,0,0,14.93,0,11.38,4.55,0,0,6.85,0,6.54,0,0,8.33,1.52,50.05,0,0,0,0,27.79,0,0,0,0,4.37,0
