stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.08,2.26,0,7.08,0,0,0,0,0,0,0,0,0,0,2.43,0,0,3,47.4,9.91,0,0,2.28,0,4.78,1.22,1.62,12.05,11.42,0,3.9,0
 24-34,0.73,5.62,0.98,0,30.02,0,0,0.7,1.05,0,0,0,1,0,0,8.32,0,0,6.5,106.65,0,0.62,0.64,29.6,0.86,0,0,0,3.93,16.15,0,4.9,0
 36-46,0,4.54,0,0,6.2,0,0,0,3.15,0.65,0,0,0,0,0.57,7.92,1.5,0,7.25,53.94,0,1.95,0,17.68,0,0,0,0,0,11.29,0,2.99,0
 48-58,0,1.75,0,0,12.89,0,0,0,4.21,0,0,0,0,0,0.6,1.85,0,0,0.7,36.88,0.56,0,0,3.99,0,0,0,0,0,0,0,0,0
 60-70,0,3.9,0,0,41.22,0,0,0,4.42,0,0,0,0,0,0,9.16,0,1.11,0,42.75,0,0,0,13.16,0,0,0.68,1.33,0,14.78,0,0.82,0
 72-82,0,0.78,0,0,76.99,0,0,3.87,8.99,0,0,2.48,0.54,0,0,11.43,0.74,0.72,0,43.84,0,0,0,9.39,0,0,0,0,0,1.93,0,1.66,0
 84-94,0,2.07,0,0,36.19,0,0,0,1.44,0.9,2.11,0,0,0,0,7.46,0.86,0,1.52,35.5,4.03,0,2.22,4.44,0,0,0,0,0,0.64,0,0.66,0
 96-106,0,0.79,1.67,0,17.93,0,1,0,15.06,0.74,0,1.05,0.86,0,0,5.61,0,0,2.3,43.26,0,4.15,1.18,2.25,0,0,0,0,0,0,0,7.52,0
108-118,0,4.01,0,0,23.74,1.15,0,0,12.41,0.54,0,0.6,0,0.87,0.89,6.79,4.11,0,0,48.09,0.48,0.43,3.7,16.31,0,0,0.97,0,0,3.62,0.89,4.91,0.83
120,0,6.82,0,1.71,22.37,0,1.12,6.71,6.52,4.96,0,0,0,0,0,3.95,0,11.56,1.39,165.43,0,2.28,0,9.21,0,0,0,0,0,1.19,0,11.15,0
