stage,blastomeres,epidermis,erythrocytes,eye,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0
 10-12,9.56,0,0,0,0,0,0,0,0,22.45,8.54,4.3,6.67,4.63,0
 14-21,0,0,0.99,0,0,0,0,0,0,2.22,0,0,0,0,1.12
 24-34,0,0.63,0,0,1.04,0,1.06,0,0,1,0,0,0,0,0
 36-46,0,0.69,0,0.97,0.89,0,0,0,0.86,1.86,0,0,0,0,1.21
 48-58,0,0,0,0,8.05,5.33,0,0,0,0,0,0,0,0,0
 60-70,0,1.32,0,0,13.5,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.74,9.47,0,0,0,0,0,0,0,0,0,0
 84-94,0,2.42,0,0,9.4,0,0,0,0,2.45,0,0,0,0,0
 96-106,0,0,0,0,7.36,0,0,1.27,0,0,0,0,0,0,0
108-118,0,4.03,0,2.62,9.95,0,0,0,0,1.83,0,0,0,0,0
120,0,1.25,0,0,7.82,0,0,0,0,0,0,0,0,0,0
