stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.84,970.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.88,0,0,0,0,0,0,0,0,0,0
  5-6,0,246.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0
  7-9,0,25.9,0,7.54,0,0,0,50.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.56,13.11,0,0,105.97,0,0,4.3,0,0,0,0,0,0,0,0,0
 10-12,3.8,6.49,0,14.6,0,7.8,0,11.68,0,0,0,0,0,45.43,0,0,0,0,0,0,0,0,0,0,404.83,45.48,0,0,66.08,0,0,0,0,3.68,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.19,0.88,0,3.54,0,0,0,3.1,0.82,0,0,0,0,0,0,0,0,4.21,0,4.63,103.39,11.06,0,7.06,4.58,0,15.23,0,12.27,1.84,0,14.57,42.7,0,0,0,0
 24-34,0,0,0,1.12,6.92,8.28,0,15.78,0,0,0.74,5.49,0,0,0,0,0,0,0,0,3.28,14,1.52,8.17,262.81,1.73,6.95,4.94,0,0,18.58,0,0,0,0,3.62,58.05,0,11.62,0,1.18
 36-46,0,0,0,0,3.02,0,0,43.31,0,0,1.31,12,0,0,1.64,0.56,0,0,0.8,0,0,43.49,0,6.8,493.01,0,6.4,0.8,0,0,19.19,0,0,0,0,0,108.19,0,10.07,0,1.65
 48-58,0,0,0,0,6.72,1.88,0,101.25,0,0,1.78,21.31,2.57,0,0.42,0,11.9,6.22,0,0,1.07,37.46,0.92,7.95,502.6,0,5.22,7.74,0,0,2.84,0,0,0,0,0,94.77,0.64,5.6,0,4.89
 60-70,0,0,0,0,15.56,0,0,179.48,0,1.72,1.32,26.82,5.17,0,0,5.61,1.23,0,0,0,0,41.85,2.17,7.48,676.3,1.57,3.1,1.26,0,3.59,2.94,0,0,0.58,2.79,0,95.85,1.22,6.98,1.28,0.91
 72-82,0,0,1.14,0,8.09,8.07,0,204.06,0,5.21,1.74,39.84,0.71,0,0,0,1.71,0.58,1.85,0,0.49,80.16,1.13,4.31,586.79,2.16,5.63,11.96,0,2.75,5.66,0,0,0,0,0,75.2,1.46,9.68,2.07,5.14
 84-94,0.62,0,0,0,8.52,3.94,0,114.72,2.24,0,2.72,35.58,2.87,0,0,1.26,1.3,1.41,0,0,1.75,66.89,3.19,3.81,436.03,1.29,0.63,18.31,0,0,13.47,0,0,0.7,0,0,45.35,0.77,11.99,2.23,0
 96-106,0,0,0.63,0,9.35,4.97,1.76,164.78,2.39,1.49,0,41.57,0.68,0,0,1.37,2.67,0,2.96,0.69,0,56.07,3.72,1.23,383.18,0,2.3,5.65,0,4.36,18.27,0,0,0.89,0,0,20.81,0,14.27,1.53,2.47
108-118,0,0,0,0,12.71,7.44,2.31,106.28,1.56,0.51,3.66,62.75,3.16,0,0,1.01,1.75,7.68,4.17,9.77,2.29,71.82,5,11.2,552.44,0.43,6.74,12.25,0,0,6.48,0,0,0.75,0,0,19.34,1.91,9.09,1.93,3.72
120,0,0,0,1.28,8.49,0,18.78,147.93,0,0,4.85,63.47,17.51,0,0,0,10.1,5.27,4.72,0,0,47.57,20.07,6.02,957.57,0,4.78,14.53,0,9.62,5.01,0,0,0,0,0,37.33,0,9.36,0,0
