stage,epidermis,glial,muscle,neural,otic,periderm,vasculature
 14-21,1.41,0,0,0,0,3.75,0
 24-34,0,0,0,0,0.73,0,1.45
 36-46,0,0,0,0,0,0,1.53
 48-58,1.7,0,0.57,0.8,0,0,0.84
 60-70,0,3.49,0.77,0,0,0,0
 72-82,0.53,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.09,0
 96-106,0,0,0,0.58,0,0.61,0
108-118,0,0,0,0,0,1.14,0
