stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,290.9,5738.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.69,0,0,0,0,0,0,0,0,0,0,0
  5-6,1313.97,2377.86,26.4,0,0,0,0,0,0,0,0,191.47,0,0,0,0,0,0,0,0,0,0,0,266.97,0,0,0,17.7,0,38.77,0,0,0,0,0,0,0,0,0,0,0
  7-9,1001.78,663.78,469.95,0,13.93,7688.73,0,0,0,0,0,3719.34,0,0,0,0,0,0,0,0,0,0,0,18314.97,60.69,0,0,435.31,0,33.64,5.42,0,0,0,0,0,0,0,0,0,0
 10-12,39.75,284.12,495.98,0,43.48,3270.22,0,0,0,0,0,824.67,0,0,0,0,0,14.93,0,0,0,0,0,14555.49,116.9,0,0,222.85,0,9.89,0,0,11.84,0,9.02,0,0,0,0,0,0
 14-21,0,0,0,491.25,13.38,353.68,0,0,0,1.08,0,4.98,0,0,0,0,0,0,0,22.78,1.47,0,3.68,3597.12,3.31,11.47,12.73,0,0,15.36,0,2.85,0,2.2,5.64,434.82,0,0,0,0,0
 24-34,0,0,0,197.91,0,304.4,0,0,0,17.2,0,1.4,0,0,1.33,22.56,0,0,0,9.4,1.44,0,9.65,3237.82,2.77,51.69,70.38,0,0,74.06,0,0,0,0,0,413.56,0,0,12.58,0,0.61
 36-46,0,0,0,48.04,1.13,216.88,0,0,0,126.51,0,0.59,0,0,0,0,1.17,0,7.98,12.06,0,0,1.34,2903.75,0,15.4,54.07,0,0,94.32,0,0,0,0,0,293.38,0,0,3.72,0,0
 48-58,0,0,0,30.55,0.59,240.97,2.05,5.13,0.53,205.47,0,4.18,0.44,0,3.84,8.75,1.96,0,2.41,27.14,0,0,5.59,2898.58,1.45,13.83,54.23,0,0.97,22.31,0,0,0.49,0,0,189.12,0,0,0,0,15.41
 60-70,0,0,0,43.86,0,151.48,0,8.95,0,135.7,0,0,0,0,0.58,0,0.89,0,0,30.65,0,0,0,2751.77,0,15.43,34.13,0,0,17.74,0,0,0,0,0,101.1,0,0,0,0.81,20.5
 72-82,0,0,0,38.31,0.67,256.58,0.75,0.63,0,176.4,0,0.6,0,0,5.52,0,0.61,0,0,30.61,0,0,5.26,2546.41,0,13.86,46.13,0,0,13.78,0,0,0,0,0,48.2,0,0,4.37,1.68,10.4
 84-94,0,0,0,56.66,4.65,340.91,0,0.58,2.3,122.5,0.6,2.13,2.41,1.31,1.62,0.73,2.93,0,0,18.97,0,1.06,1.77,1561.26,0,34.41,31.06,0,0,21.22,0,0,0,0,0,64.06,0,0,5.04,0.89,0
 96-106,0,0,0,40.7,5.66,229.2,0,0,9.93,129.95,1.57,0,0,0.65,3.64,2.41,0,0,0,25.28,0.6,0.93,2.41,1098.35,0,37.04,40.57,0,6.23,29.42,0,0,1.02,0,0,26.92,0,1.65,1.17,0,0
108-118,0,0,0,42.03,3.83,199.92,0,1.59,1.02,133.26,0,0,0,0.88,8.37,0.41,0,0,2.41,26.96,4.13,1.62,0.72,1853.37,1.03,22.81,53.39,0,2.43,26.09,0,0,0.59,0,0,15.21,0.83,0,4.12,0,0
120,0,0,0,69.2,0,251.24,0,1.33,19.12,269.09,1.38,0,0,1.97,0,0,2.63,0,1.51,41.89,0,11.56,2.76,2450.52,1.45,28.37,91.44,0,0,51.79,0,0,0,0,0,23.7,0,0,0,0,6.96
