stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,1017.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.11,0,0,0,0,0,0,0,0,0,0
  5-6,51.51,611.15,0,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,24.99,0,0,0,0,27.2,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.16,0,18.21,0,0,0,5.57,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0,100.16,0,0,0,25.15,3.31,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.65,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,117.38,21.42,0,0,60.56,0,0,4.43,0,5.61,0,0,0,0,0,0
 14-21,0,0,10.92,2.71,17.81,10.51,0,2.63,0,0,0,13.25,6.02,0,0,0,0.86,0,0,0,35.25,0,0,12.74,51,1.84,0.93,5.63,1.32,10.09,0,3.51,1.33,1.98,52.32,0,0,1.86,0,0
 24-34,0,0,5.18,3.29,11.23,1.05,0,29.05,0,1.15,0,8.12,2.49,2.59,1.45,0,5.7,0,3.2,0,11.95,29.3,0,2.13,141.71,0,4.96,4.25,0,22.44,0,9.14,0,0,97.45,0,0,37.28,0,0
 36-46,0,0,0.85,0,5.52,0,0,18.27,0,2.44,0,6.86,0,0,1.79,5.39,1.57,0,2.31,1.74,10.12,7.57,1.42,1.51,161.44,0,1.54,2.39,0,16.58,0,4.59,0,0,73.04,0,0,23.14,0,0
 48-58,0,0,1.44,0,5.41,0,0,71.45,0,6.79,0,4.76,3.27,6.2,2.23,0,16.68,0,0,0,17.78,13.51,0,4.91,156.37,0,0.38,1.64,0,5.07,0,1.38,0,0,43.88,0,0,29.69,0,0
 60-70,0,0,2.05,10.35,4.95,0,0,1090.61,0,2.27,0,6.58,5.86,2.19,0.84,0,0.56,0.71,4.19,0,10.04,19.4,0,0,192.16,0,0,0,0,15.92,0,0,0,0,18.19,0,0,18.21,0,0
 72-82,0,0,4.7,0,18.68,0,0,2320.9,0,0,0,28.35,5.71,1.24,4.86,0.59,0,0.55,0.83,0,24.73,28.78,0,0.66,209.99,0,4.46,5.19,0,8.16,0,1.39,0,0,30.49,1.61,0,37.55,0,0
 84-94,0,0,0.73,0,24.46,0,0,1696.15,0.56,6.57,8.38,55.5,6.03,6.4,6.45,0.75,1.78,0,0,1.47,26.83,25.96,0,2.28,196.84,0.65,2.89,1.69,0,37.43,0,1.27,0,0,21.07,2.35,1.27,40.42,1.49,3
 96-106,0,0,4.44,0,11.23,9.07,0,2418.96,0,0.72,0,66.85,20.47,2.64,6.67,4.06,0.58,0.91,3.56,32.19,13.06,28.56,1.11,1.09,212.09,0,6.8,4.83,0,35.52,0,3.83,0.68,0,23.85,18.7,1.15,46.52,1.52,0.75
108-118,0,0,2.79,0,29.36,5.15,4.89,2026.67,0,0.43,0.48,46.26,28.05,0,0,1.41,1.68,0,0,5.11,18.58,44.34,2.87,5.42,282.59,1.36,8.03,5.02,0,26.71,0,2.96,3.18,0,21.63,22.35,0,9.75,1.63,2.33
120,0,0,21.06,0,11.25,0,5.29,1231.52,0,0,0,34.83,23,0,0,0,0,12.97,12.51,19.69,25.48,23.71,0,0,276.43,0,8.4,0,0,14.02,0,10.98,0,0,76.49,6.6,1.52,21.4,2.01,0
