stage,blastomeres,endoderm,erythrocytes,eye,fast.muscle,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pronephros,spinal.cord
  5-6,9.2,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,15.56,0,13.87,0,0
 10-12,0,6.03,5.32,3.99,0,0,0,0,98.52,16.49,15.09,7.71,0
 14-21,0,0,0,0,0,0,0,0.93,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.04,0,1.09,0,0,0,0
 36-46,0,0,0,0,0,0,0.79,0.69,4.34,0,0,0,0
 48-58,0,0,0,0,0,0,1.54,0,0,0,0,0,0.73
 60-70,0,0,0,0,0.94,0,4.57,1.31,0,0,0,0,0
 72-82,0,0,2.6,0,0,0,1.08,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.4,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.43,1.13,0,1.06,0,0,0,0
