stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.98,1.5,0,0,0,0,5.74,0,0,0,0,1.37,4.18,0,0,0.93,0,0,0,0,0,30.9,2.06,0,0,0,0,0,0
 24-34,0,2.53,0,0,3.79,12.78,0,0,0,0,0,0,0,0,0,0,10.4,0,0.74,0,0,8.92,21.41,0,0,0,0,0,0,0,0.76,41.01,5.56,2.82,0,0,4.19,0,0
 36-46,0,0,0,0,5.74,84.34,0,0,0,0,0,0,0,0,0,0,1.59,0,2.99,0,0,3.95,28.67,0,0,0,0,0,0.8,0,0.95,92.4,0.55,11.16,0,0,0,0,0
 48-58,0,1.81,0.45,0,14.69,86.46,0,9.18,6.56,0,0,0,0,0,0,0,1.45,3.54,6.19,0,0,14.92,45.78,0,0,0,0,0,1.91,0,0,77.95,0,16.82,0,0,2.15,0,1.87
 60-70,0,10.43,0.94,0,26.96,73.39,0,0,6.53,0,0,11.32,2.12,0,0,0,0,0,20.31,0,2.75,12.53,58.89,5.58,1.4,0,0,0,5.55,0,0,67.93,0,5.09,0,0,0.92,0,0
 72-82,0,3.73,0.77,0,49.86,104.63,0,0,13.66,0,0,0,2.44,0,0.59,0,5.95,2.93,20.05,0,0.55,8.51,22.65,0.51,0,0.59,0,0,5.39,0,0.58,34.87,0,7.99,0,0,0.97,0,0
 84-94,0,5.77,7.41,0,77.59,199.01,0,0,15.37,0,0,0,7.62,0,0,0.61,23.69,10.18,22.08,0,0,10.22,69.73,0,0,1.23,0,0,13.65,0,1.12,94.74,0,0,3.87,0,1.1,0,1.41
 96-106,0,6.85,17.11,1.31,230.26,335.81,0,2.93,58.43,6.97,0,3.95,16.29,1.5,2.59,0,116.99,0,45.14,7.8,0,17.63,137.24,0,2.84,11.05,0,1.54,23.48,0,11.64,99.19,0,4.11,0,11.25,4.38,5.11,0
108-118,0,6.64,3.89,13.32,320.39,401.41,5.09,0,61.52,43.74,0,5.45,7.21,4.29,0.44,0.53,482.86,0.6,38.18,5,0,46.62,112.51,0,0,29.84,8.11,0,39.47,0,14.72,142.68,0,0,0.51,0,3.35,11.44,30.58
120,0,46.55,1.96,21.04,315.82,247.57,0,0,27.84,67.34,0,5.55,7.42,0,0,0,286.58,0,54.23,0,0,36.64,197.86,0,12.98,17.98,0,0,60.49,4.48,28.47,48.81,0,0,0,11.4,0,17.7,0
