stage,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0.8,0,0,0,1.62,0,0,0,1.06,0,2.48,0,0,0,0
 24-34,0,1.68,0,1.08,0,0,8.88,0,0.93,25.61,0,0.62,0,0,0.78,5.13,0,1.91,0,0
 36-46,0,1.7,0,0,0,0,0.89,0,0.73,22.68,0,0,0,0,0,3.91,0,0,0,0
 48-58,0,8.14,0,0.63,0,0,0.73,0,0.52,22.42,0,0,0,0,0,1.93,0,0,0,0
 60-70,0,2.52,0,4.9,0,0,5.2,0,0,48.44,0,0,0,0,0,7.39,0,0,0,0
 72-82,0,6.57,0,2.29,0,0,3.8,0,0,66.02,0,2.36,0,0,0,11.63,0,0,0.93,0
 84-94,0,7.01,0,5.27,0.91,0,9.95,0,0,18.1,0,0,0,0,0,1.92,0,2.1,0,0
 96-106,4.09,1.53,0,2.46,0,0,4.38,0,1.42,6.65,0,0,0,0,0,0,0,0,0,0
108-118,1.36,11.33,2.9,3.11,0,0,4.79,0.98,0,29.45,0.86,0,0.73,0,0,4.01,0.51,2.88,2.01,5.03
120,0,3.51,0,43.46,0,0,13.32,0,0,42.84,0,0,0,0,0,0,0,0,0,4.69
