stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,25.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0,29.74,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.11,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,37.34,2.74,0,82.21,0,0,0,2.29,0,0,0,0,0,9.23,0,0,400.97,2.26,0,0,14.63,614.67,0.86,58.47,37.68,1.77,0,2.32,7.88,1.5,3.53,10.96,61.91,0,0,0,0,169.28
 24-34,0,0,0,11.28,0,0,48.83,0,0,0.86,2.78,0.66,0,0,5.89,0,8.16,0.63,0,1037.41,16.78,0.76,0,2.36,5099.03,6.15,497.28,4.61,0,0,12.16,0,0,0,7,403.16,0,0,2.01,0,379.47
 36-46,0,0,0,72.74,1.8,0,162.41,1.4,0,1.09,29.48,0,0,0,0,7.18,8.75,2.28,0.66,868.85,15.89,0,0.92,5.71,14877.25,3.93,365.45,1.34,0,0,6.59,0,1.51,0,0,815.58,0,0,13.38,0,317.75
 48-58,0,0,0,57.31,2.7,0,2460.6,1.2,12.39,8.08,298.3,0,0,0.76,2.66,0,33.39,0,0,640.72,57.56,0,0.4,14.58,18751.38,5.95,224.97,3.72,0,0,12.32,0,0,0.73,0,1017.97,0,0.4,7.25,0,327.44
 60-70,0,0,0,16.72,1.99,0,7831.85,0.99,0,3.3,149.89,12.33,0,0.9,18.73,0,30.36,0,0,460.79,31.47,2.6,0,2.28,16442.33,8.25,48.62,4.69,0,0,9.65,0,0,0,0,227.39,0,1.77,10.2,0,437.67
 72-82,0,0,0,31.06,1.73,0,5654.59,5.52,3.81,7.81,129.11,0.81,0,0,3.28,1.12,12.95,0,2.33,243.93,87.23,0,3.98,16.69,10278.43,0,143.46,5.02,0,0,4.61,0,0,0.64,0,96.19,3.47,26.83,5.43,4.61,258.89
 84-94,0,0,0,126.1,13.1,0,3533.45,7.24,0.59,5.53,160.93,5.63,0,0,7.1,9.04,28.45,0,0,594,72.51,0,2.85,3.98,6534.71,3.49,104.73,4.84,0,0,8.61,0,42.36,2.55,0,78.84,3.64,8.88,16.82,4.69,232.62
 96-106,0,0,2.06,64.91,17.67,0,3200.71,2.82,11.65,13.48,175.56,4.39,0,3.51,8.85,2.5,22.59,2.28,25.09,336.96,79.99,1.66,0.59,2.63,4478.09,1.64,188.21,0,0,0,16.69,0,0,0,0,8.23,0,3.8,14.49,5.51,315.64
108-118,0,0,0,84.48,13.79,2.12,2884.97,0,1.31,0.8,129.97,0,0,0,4.4,0.51,6.99,0,0,472.41,59,0,7.92,0,7711.39,0,133.02,7.02,0,2.27,13.86,0,0,0.56,0,7.03,1.11,2.51,5.17,18.05,396.96
120,2.37,0,0,85.67,12.58,0,3008.4,0,10.89,29.28,253.98,2.01,0,5.19,11.04,12.89,8.21,4.13,6.73,227.42,103.66,9.06,0,21.63,7382.2,2.28,110.69,0,0,0,5.61,0,1.13,0,0,1.19,0,0,0,0,131.45
